metric,param,S1,S1_conf,ST,ST_conf
ari,face_loss_mm,0.04479450847679004,0.154239309938856,0.09472077814186278,0.04886240931478146
ari,pullout_mean_mm,0.022567696166907243,0.23948282427241785,0.10183896048789824,0.08139377573441285
ari,face_texture_noise,0.5475470001905278,0.267608914026935,0.4345545098421989,0.2564134813366283
ari,p_gap,-0.06650810834318563,0.31382725858226806,0.17010963809180116,0.1628525711637861
ari,p_fragment_lost,-0.009111197178453247,0.12157355629077192,0.049010176720336286,0.03582061816033858
ari,breaks_per_slip,0.0615285044530175,0.16706313786804886,0.2649902198022445,0.23943814312964884
ari,hand_accuracy,-0.11765996018598562,0.2472770393507158,0.15077482330753808,0.10863762948759294
ari,notch_sigma_mm,-0.04534872728481966,0.10859422650863514,0.02370946661626978,0.019191720418704247
ari,notch_tol_mm,0.09734384329102914,0.08390146533852119,0.02940149398807013,0.016739773855370236
ari,width_tol_mm,-0.03661570698047994,0.1494796655092369,0.086782239625456,0.04847093321768856
f1,face_loss_mm,0.07775485125829718,0.17112647721118118,0.11803284316826884,0.06565285037898254
f1,pullout_mean_mm,0.028496464849911734,0.14175077714737014,0.07723631009084524,0.0562766169983656
f1,face_texture_noise,0.6405904143425685,0.3137477188636488,0.5694009773208599,0.3062465316785199
f1,p_gap,0.32163346377495156,0.2831066734520358,0.3516310322466369,0.17301381045704392
f1,p_fragment_lost,0.01170046228326668,0.09481079017059747,0.029539261475893884,0.01836952836953722
f1,breaks_per_slip,-0.05343900711593754,0.10419024097640518,0.04691942800793476,0.035678044917344526
f1,hand_accuracy,-0.047416953918594885,0.13764596384328118,0.04737954310786177,0.02281891092724739
f1,notch_sigma_mm,0.05678564564740159,0.11815532242447915,0.03191305616569353,0.018568866538613463
f1,notch_tol_mm,0.04718838402826207,0.12071467790028348,0.04248117473887952,0.02363131964104665
f1,width_tol_mm,0.04611319621411543,0.11780328599005592,0.05405802282461039,0.028104730668525393
exact,face_loss_mm,0.1426852461209713,0.19460562707757295,0.14901514682330172,0.08333808136831088
exact,pullout_mean_mm,0.20189867589711463,0.19371877907487725,0.11950080731544573,0.06719552456275456
exact,face_texture_noise,0.6384048577652274,0.2969464640617392,0.44039772249416576,0.19080766574568445
exact,p_gap,0.15317147651453258,0.20026388146702725,0.14788526754707193,0.08974973042936525
exact,p_fragment_lost,0.11911790486387112,0.15178536226256403,0.1117423310104746,0.05910375330806295
exact,breaks_per_slip,0.2516748479753138,0.2555197539138816,0.3078937026155369,0.1399375492894363
exact,hand_accuracy,-0.0602962236369631,0.1619826872853258,0.0730140745038604,0.03234989272799931
exact,notch_sigma_mm,0.14593680157644295,0.14111273534726015,0.05342533717524247,0.029785173017464275
exact,notch_tol_mm,0.06954417532107662,0.11006621044959197,0.04106510587332072,0.01884671947873302
exact,width_tol_mm,0.043530932490939984,0.09521354627221092,0.05419534929857356,0.035931225215047304
