n_frag,method,precision,recall,f1,ari,exact_slip,clean_fragments,same_slip_precision,cross_slip_rate,solve_s,top1,top50,precision_sd,recall_sd,f1_sd,ari_sd,exact_slip_sd,clean_fragments_sd,same_slip_precision_sd,cross_slip_rate_sd,n_seeds
412,expert_top1,1.0,0.6114285714285714,0.7588652482269503,0.4223364280192744,0.5233644859813084,0.6310679611650486,1.0,0.0,0.0,0.6114285714285714,0.9885714285714284,,,,,,,,,1
412,expert_top10,1.0,0.8857142857142857,0.9393939393939392,0.6441852412884902,0.8411214953271028,0.8786407766990292,1.0,0.0,0.0,0.6114285714285714,0.9885714285714284,,,,,,,,,1
412,expert_top5,1.0,0.84,0.9130434782608696,0.6057040068102927,0.7663551401869159,0.8131067961165048,1.0,0.0,0.0,0.6114285714285714,0.9885714285714284,,,,,,,,,1
412,expert_top50,1.0,0.9885714285714284,0.9942528735632185,0.71178340142223,0.9813084112149532,0.9902912621359224,1.0,0.0,0.0,0.6114285714285714,0.9885714285714284,,,,,,,,,1
412,latent,0.7070707070707071,0.8,0.7506702412868633,0.7636591959957512,0.514018691588785,0.5169902912621359,0.9595959595959596,0.0404040404040404,1.2813374996185305,0.6114285714285714,0.9885714285714284,,,,,,,,,1
412,matching,0.4189189189189189,0.5314285714285715,0.4685138539042821,0.3173924226174268,0.1495327102803738,0.174757281553398,0.545045045045045,0.4549549549549549,0.0350317955017089,0.6114285714285714,0.9885714285714284,,,,,,,,,1
412,mutual,0.4465116279069767,0.5485714285714286,0.4923076923076923,0.3500694555322167,0.1682242990654205,0.2087378640776699,0.586046511627907,0.413953488372093,0.0,0.6114285714285714,0.9885714285714284,,,,,,,,,1
412,top1,0.2597087378640776,0.6114285714285714,0.3645655877342418,0.1805877941186006,0.1121495327102803,0.1359223300970873,0.3543689320388349,0.645631067961165,0.0,0.6114285714285714,0.9885714285714284,,,,,,,,,1
429,expert_top1,1.0,0.5945945945945946,0.7457627118644068,0.4070102813446517,0.4724409448818897,0.6037296037296037,1.0,0.0,0.0,0.5945945945945946,0.9783783783783784,,,,,,,,,1
429,expert_top10,1.0,0.8972972972972973,0.945868945868946,0.5852620104836254,0.8503937007874016,0.8811188811188811,1.0,0.0,0.0,0.5945945945945946,0.9783783783783784,,,,,,,,,1
429,expert_top5,1.0,0.8216216216216217,0.9020771513353116,0.5385063701439945,0.7401574803149606,0.7972027972027972,1.0,0.0,0.0,0.5945945945945946,0.9783783783783784,,,,,,,,,1
429,expert_top50,1.0,0.9783783783783784,0.989071038251366,0.6291410846935511,0.968503937007874,0.972027972027972,1.0,0.0,0.0,0.5945945945945946,0.9783783783783784,,,,,,,,,1
429,latent,0.6956521739130435,0.7783783783783784,0.7346938775510204,0.7171640080624174,0.4488188976377952,0.4778554778554778,0.9565217391304348,0.0434782608695651,3.2204086780548096,0.5945945945945946,0.9783783783783784,,,,,,,,,1
429,matching,0.3958333333333333,0.5135135135135135,0.4470588235294117,0.317192500336286,0.1574803149606299,0.1864801864801865,0.5208333333333334,0.4791666666666666,0.0352265834808349,0.5945945945945946,0.9783783783783784,,,,,,,,,1
429,mutual,0.4061135371179039,0.5027027027027027,0.4492753623188406,0.3014236579853219,0.1417322834645669,0.1748251748251748,0.5327510917030568,0.4672489082969432,0.0,0.5945945945945946,0.9783783783783784,,,,,,,,,1
429,top1,0.2564102564102564,0.5945945945945946,0.3583061889250814,0.1422760936828408,0.0944881889763779,0.1002331002331002,0.3426573426573426,0.6573426573426573,0.0,0.5945945945945946,0.9783783783783784,,,,,,,,,1
435,expert_top1,1.0,0.6428571428571429,0.782608695652174,0.4018709803157279,0.5546875,0.6505747126436782,1.0,0.0,0.0,0.6428571428571429,0.978021978021978,,,,,,,,,1
435,expert_top10,1.0,0.8791208791208791,0.935672514619883,0.5453235466803343,0.828125,0.8620689655172413,1.0,0.0,0.0,0.6428571428571429,0.978021978021978,,,,,,,,,1
435,expert_top5,1.0,0.8021978021978022,0.8902439024390244,0.4919138000405672,0.734375,0.774712643678161,1.0,0.0,0.0,0.6428571428571429,0.978021978021978,,,,,,,,,1
435,expert_top50,1.0,0.978021978021978,0.9888888888888888,0.605339890015392,0.96875,0.9793103448275862,1.0,0.0,0.0,0.6428571428571429,0.978021978021978,,,,,,,,,1
435,latent,0.6261261261261262,0.7637362637362637,0.6881188118811882,0.7139782823250435,0.3359375,0.3540229885057471,0.9414414414414416,0.0585585585585585,3.1147243976593018,0.6428571428571429,0.978021978021978,,,,,,,,,1
435,matching,0.390625,0.5494505494505495,0.4566210045662101,0.2814927614073026,0.1015625,0.1333333333333333,0.53515625,0.46484375,0.0365495681762695,0.6428571428571429,0.978021978021978,,,,,,,,,1
435,mutual,0.4166666666666667,0.5494505494505495,0.4739336492890995,0.3320088716242104,0.15625,0.1701149425287356,0.5708333333333333,0.4291666666666667,0.0,0.6428571428571429,0.978021978021978,,,,,,,,,1
435,top1,0.2689655172413793,0.6428571428571429,0.3792544570502431,0.1886632887562365,0.078125,0.0942528735632183,0.3862068965517241,0.6137931034482759,0.0,0.6428571428571429,0.978021978021978,,,,,,,,,1
