state,n_slips,seed,n_frag,n_true_joins,top1,top5,top10,top50,mrr,method,theta,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,review_pairs,n_arcs,objective
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,top1,,0.0,-,0.400679117147708,0.923679060665362,0.5589105979869745,0.12883435582822086,0.13083333333333333,1178,511,0.3211422484718922,0.5619694397283531,516,0.4380305602716469,,,
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,mutual,,0.0,-,0.568944099378882,0.8962818003913894,0.696048632218845,0.2085889570552147,0.21333333333333335,805,511,0.5609737199165342,0.7900621118012422,169,0.2099378881987578,,,
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,expert_top1,,0.0,-,1.0,0.9256360078277887,0.9613821138211383,0.8957055214723927,0.9075,473,511,0.5863167659259645,1.0,0,0.0,1200.0,,
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,expert_top5,,0.0,-,1.0,0.9706457925636007,0.9851042701092353,0.9570552147239264,0.9566666666666667,496,511,0.6130928116941905,1.0,0,0.0,6000.0,,
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,expert_top10,,0.0,-,1.0,0.9882583170254403,0.9940944881889764,0.9815950920245399,0.98,505,511,0.6281075627282138,1.0,0,0.0,12000.0,,
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,expert_top50,,0.0,-,1.0,1.0,1.0,1.0,1.0,511,511,0.6416825715130896,1.0,0,0.0,60000.0,,
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,matching,5.806138481293727,0.08851456642150879,OPTIMAL,0.657185628742515,0.8590998043052838,0.744698897370653,0.3803680981595092,0.3908333333333333,668,511,0.6476003715655607,0.8832335329341318,78,0.11676646706586824,,793.0,3289.434
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,morph,2.9444389791664394,0.09219241142272949,OPTIMAL,0.6776978417266187,0.9217221135029354,0.7810945273631841,0.4601226993865031,0.4475,695,511,0.7652035059303299,0.9467625899280575,37,0.05323741007194249,,752.0,4968.713
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,length,2.9444389791664394,0.21611666679382324,OPTIMAL,0.7099697885196374,0.9197651663405088,0.8013640238704177,0.5429447852760736,0.5066666666666667,662,511,0.8109875259939637,0.986404833836858,9,0.013595166163142047,,746.0,4912.511
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,full,1.7346010553881064,2.9377496242523193,OPTIMAL,0.6979768786127167,0.9452054794520548,0.802992518703242,0.5429447852760736,0.49416666666666664,692,511,0.841392264590781,0.9869942196531792,9,0.013005780346820761,,833.0,6170.294
P1,400,0,1200,511,0.9256360078277887,0.9706457925636007,0.9882583170254403,1.0,0.9484464061353379,latent,-0.8472978603872036,3.135899543762207,OPTIMAL,0.6887323943661972,0.9569471624266145,0.800982800982801,0.5153374233128835,0.4666666666666667,710,511,0.8684466067832294,0.9830985915492958,12,0.016901408450704203,,1281.0,10614.555
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,top1,,0.0,-,0.3907637655417407,0.9421841541755889,0.5524168236032644,0.13664596273291926,0.13850174216027875,1126,467,0.21791157576146788,0.5683836589698046,486,0.4316163410301954,,,
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,mutual,,0.0,-,0.5567010309278351,0.9250535331905781,0.6950925181013676,0.2546583850931677,0.24825783972125434,776,467,0.5368333467526898,0.7899484536082474,163,0.2100515463917526,,,
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,expert_top1,,0.0,-,1.0,0.9421841541755889,0.9702315325248071,0.9161490683229814,0.9381533101045296,440,467,0.596810623114745,1.0,0,0.0,1148.0,,
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,expert_top5,,0.0,-,1.0,0.9807280513918629,0.9902702702702703,0.9720496894409938,0.9817073170731707,458,467,0.6183601209920214,1.0,0,0.0,5740.0,,
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,expert_top10,,0.0,-,1.0,0.9850107066381156,0.9924487594390508,0.9782608695652174,0.9860627177700348,460,467,0.6202864961427853,1.0,0,0.0,11480.0,,
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,expert_top50,,0.0,-,1.0,0.9978586723768736,0.9989281886387995,0.9968944099378882,0.9973867595818815,466,467,0.6247606168501296,1.0,0,0.0,57400.0,,
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,matching,5.806138481293727,0.0807332992553711,OPTIMAL,0.6334355828220859,0.8843683083511777,0.738159070598749,0.40683229813664595,0.4102787456445993,652,467,0.6699485423595416,0.8865030674846626,74,0.11349693251533743,,769.0,3105.698
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,morph,2.9444389791664394,0.08560585975646973,OPTIMAL,0.6616766467065869,0.9464668094218416,0.7788546255506608,0.453416149068323,0.4372822299651568,668,467,0.8079703613162187,0.9595808383233533,27,0.04041916167664672,,732.0,4734.85
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,length,2.9444389791664394,0.22476553916931152,OPTIMAL,0.6853582554517134,0.9421841541755889,0.793507664562669,0.4968944099378882,0.4808362369337979,642,467,0.8456170827788163,0.9875389408099688,8,0.012461059190031154,,721.0,4692.573
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,full,1.7346010553881064,2.004178047180176,OPTIMAL,0.6716867469879518,0.9550321199143469,0.78868258178603,0.4658385093167702,0.44947735191637633,664,467,0.8778199788386188,0.9849397590361446,10,0.015060240963855387,,806.0,5916.21
P1,400,1,1148,467,0.9421841541755889,0.9807280513918629,0.9850107066381156,0.9978586723768736,0.9611203973100773,latent,-0.8472978603872036,14.203967094421387,OPTIMAL,0.6602941176470588,0.961456102783726,0.7829119442022667,0.4440993788819876,0.43031358885017423,680,467,0.9018002801591405,0.9852941176470589,10,0.014705882352941124,,1204.0,10127.635
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,top1,,0.0,-,0.3900184842883549,0.9234135667396062,0.548408057179987,0.1413427561837456,0.14841628959276018,1082,457,0.20466930126292354,0.5360443622920518,502,0.46395563770794823,,,
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,mutual,,0.0,-,0.56353591160221,0.8927789934354485,0.690939881456393,0.24028268551236748,0.24705882352941178,724,457,0.5324436044132607,0.7693370165745856,167,0.23066298342541436,,,
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,expert_top1,,0.0,-,1.0,0.925601750547046,0.9613636363636364,0.8904593639575972,0.9158371040723982,423,457,0.6484315655387844,1.0,0,0.0,1105.0,,
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,expert_top5,,0.0,-,1.0,0.9824945295404814,0.9911699779249449,0.9752650176678446,0.9828054298642533,449,457,0.6880597930885236,1.0,0,0.0,5525.0,,
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,expert_top10,,0.0,-,1.0,0.9890590809628009,0.9944994499449945,0.9823321554770318,0.9882352941176471,452,457,0.6919604079124452,1.0,0,0.0,11050.0,,
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,expert_top50,,0.0,-,1.0,1.0,1.0,1.0,1.0,457,457,0.6971254082671838,1.0,0,0.0,55250.0,,
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,matching,5.806138481293727,0.17502927780151367,OPTIMAL,0.6426174496644296,0.838074398249453,0.7274453941120609,0.3957597173144876,0.40180995475113124,596,457,0.6668055927156122,0.8674496644295302,79,0.1325503355704698,,699.0,2838.017
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,morph,2.9444389791664394,0.13288116455078125,OPTIMAL,0.6788553259141494,0.9343544857768052,0.7863720073664824,0.5335689045936396,0.48868778280542985,629,457,0.7813957201678554,0.9348171701112877,41,0.06518282988871227,,665.0,4352.726
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,length,2.9444389791664394,0.4023914337158203,OPTIMAL,0.7164429530201343,0.9343544857768052,0.8110161443494777,0.6007067137809188,0.5583710407239819,596,457,0.8372662469350873,0.9798657718120806,12,0.020134228187919434,,648.0,4308.372
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,full,1.7346010553881064,2.172579288482666,OPTIMAL,0.7087378640776699,0.9584245076586433,0.8148837209302326,0.6042402826855123,0.5574660633484163,618,457,0.865512022690712,0.9773462783171522,14,0.02265372168284785,,745.0,5475.01
P1,400,2,1105,457,0.925601750547046,0.9824945295404814,0.9890590809628009,1.0,0.9519402340677133,latent,-0.8472978603872036,5.704240083694458,OPTIMAL,0.7042925278219396,0.9693654266958425,0.8158379373848987,0.5936395759717314,0.5529411764705883,629,457,0.8868277451403285,0.9793322734499205,13,0.020667726550079535,,1082.0,9496.783
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,top1,,0.0,-,0.3989071038251366,0.9260042283298098,0.5576066199872692,0.11784511784511785,0.13291703835860838,1098,473,0.2930248898018854,0.5555555555555556,488,0.4444444444444444,,,
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,mutual,,0.0,-,0.5699067909454061,0.904862579281184,0.6993464052287582,0.2356902356902357,0.25245316681534347,751,473,0.5716405790416256,0.7816245006657789,164,0.21837549933422107,,,
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,expert_top1,,0.0,-,1.0,0.9302325581395349,0.963855421686747,0.8956228956228957,0.9090098126672613,440,473,0.6338762021971331,1.0,0,0.0,1121.0,,
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,expert_top5,,0.0,-,1.0,0.9704016913319239,0.9849785407725321,0.9562289562289562,0.9616413916146298,459,473,0.6664735171283281,1.0,0,0.0,5605.0,,
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,expert_top10,,0.0,-,1.0,0.9830866807610994,0.9914712153518124,0.9764309764309764,0.9768064228367529,465,473,0.6733020793191448,1.0,0,0.0,11210.0,,
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,expert_top50,,0.0,-,1.0,0.9915433403805497,0.9957537154989385,0.9865319865319865,0.9848349687778769,469,473,0.6776113577596722,1.0,0,0.0,56050.0,,
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,matching,5.806138481293727,0.11521124839782715,OPTIMAL,0.6336477987421384,0.8520084566596194,0.7267808836789902,0.36363636363636365,0.3728813559322034,636,473,0.6455358295112479,0.85062893081761,95,0.14937106918238996,,753.0,2958.944
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,morph,2.9444389791664394,0.11347317695617676,OPTIMAL,0.6682098765432098,0.9154334038054969,0.7725245316681534,0.4478114478114478,0.4264049955396967,648,473,0.7845644628720744,0.9351851851851852,42,0.06481481481481477,,698.0,4535.761
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,length,2.9444389791664394,0.2460942268371582,OPTIMAL,0.7058823529411765,0.9133192389006343,0.7963133640552996,0.5286195286195287,0.5013380909901873,612,473,0.8391109310083688,0.9803921568627451,12,0.019607843137254943,,679.0,4468.583
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,full,1.7346010553881064,0.7298378944396973,OPTIMAL,0.6953125,0.9408033826638478,0.7996406109613657,0.5286195286195287,0.4933095450490633,640,473,0.8838275923462077,0.9859375,9,0.014062499999999978,,760.0,5661.747
P1,400,3,1121,473,0.9302325581395349,0.9704016913319239,0.9830866807610994,0.9915433403805497,0.9473171866838835,latent,-0.8472978603872036,1.9023785591125488,OPTIMAL,0.6975308641975309,0.9556025369978859,0.8064228367528992,0.5252525252525253,0.4950936663693131,648,473,0.9006331076687889,0.9861111111111112,9,0.01388888888888884,,1150.0,9771.692
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,top1,,0.0,-,0.4175257731958763,0.9187145557655955,0.5741287655050207,0.109717868338558,0.12774957698815567,1164,529,0.2557434461199131,0.552405498281787,521,0.447594501718213,,,
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,mutual,,0.0,-,0.6061776061776062,0.8903591682419659,0.7212863705972434,0.2476489028213166,0.24027072758037224,777,529,0.5350562537176036,0.7915057915057915,162,0.20849420849420852,,,
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,expert_top1,,0.0,-,1.0,0.9243856332703214,0.9607072691552062,0.8840125391849529,0.8934010152284264,489,529,0.6477414563606663,1.0,0,0.0,1182.0,,
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,expert_top5,,0.0,-,1.0,0.9716446124763705,0.9856184084372004,0.9529780564263323,0.9560067681895094,514,529,0.6829902413949427,1.0,0,0.0,5910.0,,
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,expert_top10,,0.0,-,1.0,0.9810964083175804,0.9904580152671756,0.9686520376175548,0.9720812182741116,519,529,0.6919346569820487,1.0,0,0.0,11820.0,,
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,expert_top50,,0.0,-,1.0,0.996219281663516,0.9981060606060606,0.9937304075235109,0.9915397631133672,527,529,0.7002107716304801,1.0,0,0.0,59100.0,,
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,matching,5.806138481293727,0.08507251739501953,OPTIMAL,0.6837209302325581,0.833648393194707,0.7512776831345827,0.39184952978056425,0.39593908629441626,645,529,0.6278745459024243,0.8666666666666667,86,0.1333333333333333,,802.0,2893.434
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,morph,2.9444389791664394,0.09138870239257812,OPTIMAL,0.7230320699708455,0.9376181474480151,0.8164609053497942,0.5141065830721003,0.4966159052453469,686,529,0.7736649538379814,0.9518950437317785,33,0.04810495626822153,,750.0,4548.031
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,length,2.9444389791664394,0.3085756301879883,OPTIMAL,0.7526555386949925,0.9376181474480151,0.835016835016835,0.567398119122257,0.5465313028764806,659,529,0.8285828083442449,0.9848254931714719,10,0.015174506828528056,,742.0,4495.273
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,full,1.7346010553881064,4.197509288787842,OPTIMAL,0.7400881057268722,0.9527410207939508,0.8330578512396694,0.5391849529780565,0.5143824027072758,681,529,0.8540507734000431,0.9838472834067548,11,0.016152716593245242,,852.0,5731.312
P1,400,4,1182,529,0.9243856332703214,0.9716446124763705,0.9810964083175804,0.996219281663516,0.9467105277694345,latent,-0.8472978603872036,11.926855087280273,OPTIMAL,0.728448275862069,0.9584120982986768,0.8277551020408163,0.5266457680250783,0.5016920473773265,696,529,0.8681220238200157,0.9798850574712644,14,0.02011494252873558,,1293.0,10093.924
P2,400,0,1200,511,0.9158512720156555,0.9784735812133072,0.9882583170254403,1.0,0.9440748587766817,top1,,0.0,-,0.39065108514190316,0.9158512720156555,0.5476887068461088,0.1196319018404908,0.12583333333333332,1198,511,0.2859276041606248,0.5450751252086812,545,0.4549248747913188,,,
P2,400,0,1200,511,0.9158512720156555,0.9784735812133072,0.9882583170254403,1.0,0.9440748587766817,mutual,,0.0,-,0.5654911838790933,0.8786692759295499,0.6881226053639847,0.25153374233128833,0.25666666666666665,794,511,0.5291489746266872,0.7695214105793451,183,0.2304785894206549,,,
P2,400,0,1200,511,0.9158512720156555,0.9784735812133072,0.9882583170254403,1.0,0.9440748587766817,expert_top1,,0.0,-,1.0,0.9158512720156555,0.9560776302349335,0.8773006134969326,0.8958333333333334,468,511,0.5820587096633767,1.0,0,0.0,1200.0,,
P2,400,0,1200,511,0.9158512720156555,0.9784735812133072,0.9882583170254403,1.0,0.9440748587766817,expert_top5,,0.0,-,1.0,0.9784735812133072,0.9891196834817012,0.9693251533742331,0.97,500,511,0.6240970980392638,1.0,0,0.0,6000.0,,
P2,400,0,1200,511,0.9158512720156555,0.9784735812133072,0.9882583170254403,1.0,0.9440748587766817,expert_top10,,0.0,-,1.0,0.9882583170254403,0.9940944881889764,0.9846625766871165,0.9825,505,511,0.6298192090959778,1.0,0,0.0,12000.0,,
P2,400,0,1200,511,0.9158512720156555,0.9784735812133072,0.9882583170254403,1.0,0.9440748587766817,expert_top50,,0.0,-,1.0,1.0,1.0,1.0,1.0,511,511,0.6416825715130896,1.0,0,0.0,60000.0,,
P2,400,0,1200,511,0.9158512720156555,0.9784735812133072,0.9882583170254403,1.0,0.9440748587766817,matching,4.595119850134589,0.17286348342895508,OPTIMAL,0.5540704738760632,0.8923679060665362,0.6836581709145428,0.2085889570552147,0.21083333333333334,823,511,0.514859043421262,0.7594167679222357,198,0.24058323207776433,,1492.0,3363.203
