state,top1,proposed,equivalent_top1,accuracy_points,unreachable
P5,0.23727606321626693,0.4542983788995801,0.8064597987132736,0.5691837354970066,False
P4,0.5020787123690826,0.661912366140663,,,True
P3,0.7641857136306417,0.831831603234569,,,True
P2,0.8960838736171899,0.8196338999547498,,,True
P1,0.9296080207920558,0.8851659527143007,,,True
