state,method,precision,recall,f1,ari,exact_slip,clean_fragments,same_slip_precision,cross_slip_rate,solve_s,top1,top50,precision_sd,recall_sd,f1_sd,ari_sd,exact_slip_sd,clean_fragments_sd,same_slip_precision_sd,cross_slip_rate_sd,n_seeds
P3,expert_top1,1.0,0.7641857136306417,0.8662637528530157,0.5113826578856949,0.6820120378838819,0.7494457298662134,1.0,0.0,0.0,0.7641857136306417,0.990655345064863,0.0,0.01527603429286326,0.009924920434497882,0.024780920711032484,0.02832883505293116,0.024754019254934537,0.0,0.0,5
P3,expert_top10,1.0,0.9470085281808766,0.9727631190606211,0.6326859994601012,0.9193112269188282,0.9313104755810407,1.0,0.0,0.0,0.7641857136306417,0.990655345064863,0.0,0.00957845112920234,0.005085334519844421,0.032246041179709625,0.014651766734221618,0.009169365350575666,0.0,0.0,5
P3,expert_top5,1.0,0.916944169574711,0.9566312072085482,0.6108424372403702,0.8744401115299129,0.8935356841015045,1.0,0.0,0.0,0.7641857136306417,0.990655345064863,0.0,0.013500669911332452,0.007381584357111507,0.03562863066043305,0.017722663846443082,0.01587214615324186,0.0,0.0,5
P3,expert_top50,1.0,0.990655345064863,0.9952952280264362,0.6656641785912428,0.9850410625064899,0.9883132677417846,1.0,0.0,0.0,0.7641857136306417,0.990655345064863,0.0,0.007192806650387317,0.0036363685290880065,0.03330973395963308,0.011774020893292936,0.009904412914612888,0.0,0.0,5
P3,full,0.683310689685895,0.882383436171619,0.7700272859171446,0.7867391265794464,0.48484732426135524,0.4619178470430305,0.9488780553055352,0.05112194469446481,3.6685296058654786,0.7641857136306417,0.990655345064863,0.021306071018435898,0.013961988652133191,0.015305720734837148,0.011013451368284325,0.031161374632272146,0.03100358816016537,0.004861145218862746,0.0048611452188628045,5
P3,latent,0.6863638053962343,0.916275555217743,0.7845977696723014,0.831831603234569,0.493717866826085,0.46993295212268327,0.9587432599456577,0.04125674005434236,38.90646324157715,0.7641857136306417,0.990655345064863,0.023083880762267098,0.013080810210412804,0.01512934984876336,0.015106145388997027,0.04362257097646215,0.037893375886948265,0.003849652147951504,0.003849652147951497,5
P3,latent_no_hand,0.6670827610877421,0.9000170445796222,0.7660350590771356,0.7902893214098613,0.47244592524450263,0.44308324321422454,0.9267741603747297,0.07322583962527032,7.397662782669068,0.7641857136306417,0.990655345064863,0.02341624787848948,0.013976278217651737,0.01690748924210765,0.01649837253867148,0.04023024509650627,0.037566104887512754,0.007271486924746306,0.007271486924746279,5
P3,latent_no_notch,0.6741498878653704,0.9085339217064646,0.773757877831411,0.8220930062157606,0.47817876287440964,0.4545435126808465,0.9480360735831124,0.0519639264168877,13.45649561882019,0.7641857136306417,0.990655345064863,0.023246499393007262,0.012350670303178287,0.015422259647141287,0.016184343236728946,0.04055619368217072,0.03850390494617856,0.00359305237990167,0.003593052379901672,5
P3,mutual,0.5103455988134966,0.7046481416290008,0.5917592394111123,0.4258988203660251,0.1838770790895727,0.2122578119795029,0.666045116867263,0.3339548831327371,0.0,0.7641857136306417,0.990655345064863,0.013308879515512599,0.02359297333579646,0.012760375401704212,0.01825296925494701,0.020222695095902896,0.014152380009027465,0.009440646720758778,0.009440646720758797,5
P3,no_hand,0.675698915457523,0.8612848193960515,0.7570481090506114,0.7547029506557059,0.46341017013079905,0.4477835783180428,0.9280597786214212,0.0719402213785787,1.285299587249756,0.7641857136306417,0.990655345064863,0.02741422629687565,0.01011642040031621,0.018411792462581254,0.01652854538322995,0.03919031442748704,0.03855439362847701,0.010588097569073331,0.0105880975690733,5
P3,no_length,0.6757040491173754,0.8148352613131278,0.738593704789101,0.6874595350461744,0.4219680943854366,0.4330524384043907,0.9230738813215214,0.07692611867847868,0.11440949440002439,0.7641857136306417,0.990655345064863,0.020587991049395155,0.017477858114869987,0.014950145320117356,0.029000011374591787,0.03394990410940454,0.02658710532770516,0.009296200597942748,0.009296200597942736,5
P3,no_notch,0.6782751090774006,0.8793101539931334,0.7656345666586648,0.7809091742176482,0.4797580709790205,0.4564173350378574,0.9427286697301185,0.057271330269881404,0.7066391468048095,0.7641857136306417,0.990655345064863,0.020757151617416588,0.01795161637592686,0.015653155319857587,0.012160860610215353,0.032403035380744266,0.03182562292184263,0.004571197879773785,0.0045711978797737425,5
P3,no_strat,0.6228342799052654,0.7760392657902101,0.6909159801830536,0.6308453942051954,0.3849888242216834,0.37933814281174283,0.8327888473365792,0.16721115266342065,8.077563905715943,0.7641857136306417,0.990655345064863,0.018611953487508964,0.005462260392102284,0.01157018042809892,0.015345031086652564,0.021906497288690183,0.028530681011900913,0.007793624623769493,0.007793624623769468,5
P3,no_width,0.6626997489357869,0.8822594902963621,0.7567034175008664,0.7642940501660759,0.4684747803287322,0.43617280102779254,0.9148135941430271,0.08518640585697286,4.5670257091522215,0.7641857136306417,0.990655345064863,0.023662885082858028,0.01373915994990809,0.017709080208291875,0.017411423719550522,0.039692898482607514,0.03736748009748301,0.009087539433250868,0.009087539433250873,5
P3,top1,0.3232043499322124,0.7641857136306417,0.454177543486432,0.175600673272955,0.0930609594466538,0.12146376450941561,0.4334152209898007,0.5665847790101992,0.0,0.7641857136306417,0.990655345064863,0.007580090974484497,0.01527603429286326,0.007005086027422414,0.028615472829038105,0.014960690060899113,0.01738359788383091,0.011037099165750927,0.011037099165750899,5
P4,expert_top1,1.0,0.5020787123690826,0.6684104510152523,0.3309513725668614,0.37405177154743613,0.5317106873035881,1.0,0.0,0.0,0.5020787123690826,0.9362257687003404,0.0,0.014624852838681476,0.013018978242339123,0.015571564766505643,0.01044888469739005,0.017504187045034078,0.0,0.0,5
P4,expert_top10,1.0,0.805128737547969,0.8919248717534906,0.5393448984796463,0.7210875545742927,0.7772587022823194,1.0,0.0,0.0,0.5020787123690826,0.9362257687003404,0.0,0.02101004426857093,0.01298572871755728,0.024949185579665464,0.025221317673951863,0.028741582738737906,0.0,0.0,5
P4,expert_top5,1.0,0.7318987553051919,0.8450907912523122,0.48801507235155517,0.6331072582955454,0.7114950520510351,1.0,0.0,0.0,0.5020787123690826,0.9362257687003404,0.0,0.01854333336297239,0.012526298792198543,0.01917423854085433,0.025989304465893925,0.029181093162329527,0.0,0.0,5
P4,expert_top50,1.0,0.9362257687003404,0.9670514850460068,0.6287485114906227,0.9005344957107928,0.9187907318466723,1.0,0.0,0.0,0.5020787123690826,0.9362257687003404,0.0,0.007090945102240049,0.0037957682589622585,0.032120342437624544,0.014911870759281066,0.013224797896812067,0.0,0.0,5
P4,full,0.6541395942993988,0.6192579363394143,0.6360580718681634,0.5471422407068733,0.3480158622606779,0.39719092837775094,0.8959578389674094,0.10404216103259052,2.6800771236419676,0.5020787123690826,0.9362257687003404,0.027982728086709322,0.019981959680308,0.021301009297596294,0.027977335175756235,0.024906702741504264,0.02531583862074146,0.018813932849617198,0.01881393284961717,5
P4,latent,0.6295060118115539,0.7369571569285464,0.6787857380675939,0.6627903982479667,0.37824368197785185,0.393108259727567,0.8849891375931358,0.11501086240686406,86.80558605194092,0.5020787123690826,0.9362257687003404,0.025405356560183858,0.023232199014433682,0.020918843366603785,0.02139932869458284,0.05629919037740009,0.048387009889710716,0.012341754014902834,0.012341754014902822,5
P4,latent_no_hand,0.5700166303516603,0.7608889737685539,0.6516121191912352,0.6257605380771312,0.3447213386472019,0.324782273401541,0.7967045536979661,0.20329544630203386,67.30693144798279,0.5020787123690826,0.9362257687003404,0.025308007971197508,0.02677405234867657,0.024209311077313517,0.026558486535202767,0.05088577974193132,0.04227050595991164,0.020134660025358006,0.02013466002535801,5
P4,latent_no_notch,0.6076071031629728,0.7299375255597824,0.6629510622885812,0.6565194183401543,0.35888989536175997,0.3677956492321832,0.8650191020188542,0.13498089798114582,72.86994013786315,0.5020787123690826,0.9362257687003404,0.023564912015344212,0.02458445817144432,0.020277941494431198,0.029099526268925265,0.045331152073819714,0.0407722210887224,0.018797367189786807,0.01879736718978679,5
P4,mutual,0.35774862262132123,0.417771304045663,0.3853403646418699,0.25224289500451846,0.11329533152416067,0.1676543459837863,0.4667676836604084,0.5332323163395916,0.0,0.5020787123690826,0.9362257687003404,0.021075596698079922,0.017722201998639484,0.018960576897277634,0.016692711346765424,0.015128237806008462,0.012959216506673041,0.022167863037700433,0.022167863037700422,5
P4,no_hand,0.5918724162515009,0.6962338353890021,0.6395854744574576,0.5748388217159871,0.3338328286556258,0.3445612439719473,0.8112365632731647,0.1887634367268353,6.1889711856842045,0.5020787123690826,0.9362257687003404,0.02879774126191506,0.022817536921330695,0.02334115377010986,0.023998497691393093,0.034254760473346635,0.031581308304595435,0.01563333072078439,0.015633330720784388,5
P4,no_length,0.6084583859395709,0.6259598854728876,0.6169190602360075,0.5254004407083726,0.2976790665064534,0.3486088588658421,0.8458783217780624,0.15412167822193762,0.10017442703247068,0.5020787123690826,0.9362257687003404,0.028715112210956312,0.019792445403654546,0.022384938775421727,0.02818661528496984,0.027985577763072388,0.025190341482302443,0.01997462643901929,0.019974626439019264,5
P4,no_notch,0.6441619844773931,0.6168256143345207,0.6300687888616563,0.5433857834306708,0.3382133688733949,0.3869191909782296,0.885910068616411,0.11408993138358894,0.4220914840698242,0.5020787123690826,0.9362257687003404,0.024408942212811587,0.020003373051381088,0.01992783436068248,0.026306561052157767,0.025060417990832612,0.02593740892673001,0.018320751516193768,0.018320751516193765,5
