state,seed,method,theta,n_frag,top1,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
P2,0,full,-1.3862943611198906,731,0.9320987654320988,OPTIMAL,0.690631808278867,0.9783950617283951,0.80970625798212,0.5219512195121951,0.46785225718194257,459,324,0.8931106189266045,0.9651416122004357,16,0.034858387799564294
P2,0,full,-0.6190392084062235,731,0.9320987654320988,OPTIMAL,0.6984478935698448,0.9722222222222222,0.8129032258064517,0.5414634146341464,0.4856361149110807,451,324,0.8826053291331841,0.9689578713968958,14,0.03104212860310418
P2,0,full,0.0,731,0.9320987654320988,OPTIMAL,0.7024608501118568,0.9691358024691358,0.8145265888456551,0.551219512195122,0.4952120383036936,447,324,0.870590134605187,0.9686800894854586,14,0.031319910514541416
P2,0,full,0.8472978603872034,731,0.9320987654320988,OPTIMAL,0.7120181405895691,0.9691358024691358,0.8209150326797385,0.5756097560975609,0.5170998632010944,441,324,0.8733138651229962,0.9750566893424036,11,0.024943310657596363
P2,0,full,1.7346010553881064,731,0.9320987654320988,OPTIMAL,0.7185354691075515,0.9691358024691358,0.8252299605781866,0.5853658536585366,0.5294117647058824,437,324,0.8728082167201823,0.9794050343249427,9,0.020594965675057253
P2,0,full,2.9444389791664394,731,0.9320987654320988,OPTIMAL,0.7369668246445498,0.9598765432098766,0.8337801608579088,0.6097560975609756,0.5649794801641587,422,324,0.8516655794063092,0.985781990521327,6,0.014218009478673022
P2,0,full,4.595119850134589,731,0.9320987654320988,OPTIMAL,0.7615384615384615,0.9166666666666666,0.8319327731092437,0.6097560975609756,0.5759233926128591,390,324,0.7959338998286117,0.9923076923076923,3,0.007692307692307665
P2,0,full,5.806138481293727,731,0.9320987654320988,OPTIMAL,0.768595041322314,0.8611111111111112,0.8122270742358079,0.5707317073170731,0.5567715458276333,363,324,0.7459095266322269,0.9972451790633609,1,0.0027548209366391463
P2,0,latent,-1.3862943611198906,731,0.9320987654320988,OPTIMAL,0.7078651685393258,0.9722222222222222,0.8192457737321197,0.551219512195122,0.5006839945280438,445,324,0.8886381110238905,0.9775280898876404,10,0.022471910112359605
P2,0,latent,-0.6190392084062235,731,0.9320987654320988,OPTIMAL,0.7159090909090909,0.9722222222222222,0.824607329842932,0.5658536585365853,0.5157318741450069,440,324,0.8847712338193439,0.9795454545454545,9,0.020454545454545503
P2,0,latent,0.0,731,0.9320987654320988,OPTIMAL,0.7201834862385321,0.9691358024691358,0.8263157894736843,0.5902439024390244,0.533515731874145,436,324,0.8750896836848427,0.981651376146789,8,0.01834862385321101
P2,0,latent,0.8472978603872034,731,0.9320987654320988,OPTIMAL,0.7306791569086651,0.9629629629629629,0.8308921438082557,0.6048780487804878,0.5567715458276333,427,324,0.8596812854080187,0.9836065573770492,7,0.016393442622950838
P2,0,latent,1.7346010553881064,731,0.9320987654320988,OPTIMAL,0.7344497607655502,0.9475308641975309,0.8274932614555256,0.6097560975609756,0.5649794801641587,418,324,0.8465791692215094,0.9856459330143541,6,0.014354066985645897
P2,0,latent,2.9444389791664394,731,0.9320987654320988,OPTIMAL,0.7588832487309645,0.9228395061728395,0.8328690807799443,0.6097560975609756,0.5800273597811217,394,324,0.8153550710172751,0.9949238578680203,2,0.005076142131979711
P2,0,latent,4.595119850134589,731,0.9320987654320988,OPTIMAL,0.7688022284122563,0.8518518518518519,0.808199121522694,0.5658536585365853,0.5622435020519836,359,324,0.7434634757234782,0.9972144846796658,1,0.0027855153203342198
P2,0,latent,5.806138481293727,731,0.9320987654320988,OPTIMAL,0.7801857585139319,0.7777777777777778,0.7789799072642968,0.526829268292683,0.5540355677154583,323,324,0.6731901766391983,1.0,0,0.0
P2,1,full,-1.3862943611198906,732,0.9209621993127147,OPTIMAL,0.6077586206896551,0.9690721649484536,0.7470198675496689,0.3592233009708738,0.3442622950819672,464,291,0.9004830160666808,0.9633620689655172,17,0.03663793103448276
