state,method,precision,recall,f1,ari,exact_slip,clean_fragments,same_slip_precision,cross_slip_rate,solve_s,top1,top50,precision_sd,recall_sd,f1_sd,ari_sd,exact_slip_sd,clean_fragments_sd,same_slip_precision_sd,cross_slip_rate_sd,n_seeds
P1,top1,0.3995788487997633,0.9267991131351925,0.5582941728525032,0.2584982922836164,0.1268772121857123,0.1356835960866272,0.5548717029655104,0.4451282970344896,0.0,0.9296080207920558,0.9971242588841879,0.011100227356512664,0.008998444995414117,0.009796243548523579,0.04916498294733742,0.013081787636751671,0.00812697638588485,0.012185743708920558,0.012185743708920579,5
P1,mutual,0.5730530878063879,0.9018672149081132,0.7005427615205215,0.5473895007683428,0.23737383323446043,0.24027477819594298,0.7844955748311291,0.21550442516887083,0.0,0.9296080207920558,0.9971242588841879,0.019248266767561025,0.01407839946649903,0.011977544019319634,0.017745189457685346,0.01763659410778616,0.015683647211834458,0.00932588218217533,0.0093258821821753,5
P1,matching,0.6501214780407454,0.8534398721520482,0.7376723857790071,0.6515529764108774,0.3876892014055141,0.3943484951911367,0.8708963724665203,0.12910362753347973,0.108912181854248,0.9296080207920558,0.9971242588841879,0.021124257759038575,0.02011499674114465,0.010699638077353283,0.017201281666853342,0.016439565605350155,0.014010448504440382,0.014459545776324084,0.014459545776324119,5
P1,morph,0.681894352172282,0.9311189919910188,0.787061319459655,0.782559800824892,0.48180515678640284,0.45929818271112605,0.9456481654559324,0.0543518345440675,0.10310826301574702,0.9296080207920558,0.9971242588841879,0.024058151912255687,0.012475996389342311,0.017168877611881437,0.016057938952200784,0.039225325668282074,0.03147309192682195,0.010737425431983616,0.010737425431983591,5
P1,length,0.7140617777255308,0.9294482385283105,0.8074436063709397,0.8323129190120963,0.5473127113473333,0.5187486676382228,0.983805439298625,0.01619456070137508,0.2795886993408203,0.9296080207920558,0.9971242588841879,0.024508610415215116,0.012317961856350009,0.016793600395953984,0.013383154627348626,0.03925831783531815,0.03251254603357291,0.003496708176833397,0.003496708176833399,5
P1,full,0.7027604190810421,0.9504413020965687,0.807851456724108,0.8645205263732725,0.5361656117751883,0.5017604059375597,0.9838130080826462,0.01618699191735378,2.40837082862854,0.9296080207920558,0.9971242588841879,0.024864698341301807,0.007252572218287089,0.01690627174720004,0.01728549621582118,0.04922417887936866,0.03913130055877089,0.0037987797163159336,0.0037987797163159622,5
P1,latent,0.6958596359789591,0.9603566654405491,0.8067821242727364,0.8851659527143007,0.5209949342888412,0.4893414291468138,0.9827442302457301,0.01725576975426982,7.374668073654175,0.9296080207920558,0.9971242588841879,0.024756967631600173,0.005485761826015187,0.016773642138206972,0.016497934162432087,0.05308539544859709,0.04535687557307166,0.0030732597752755474,0.003073259775275519,5
P1,expert_top10,1.0,0.9853022387410073,0.992594385638402,0.6611182406169276,0.9774542262230641,0.9806371305997093,1.0,0.0,0.0,0.9296080207920558,0.9971242588841879,0.0,0.0033739798451947393,0.0017121897178877397,0.03466364427634849,0.0054798996628120785,0.006622933226254437,0.0,0.0,5
P1,expert_top50,1.0,0.9971242588841879,0.9985575929487597,0.6682781452041111,0.9954313607986771,0.9947522982946252,1.0,0.0,0.0,0.9296080207920558,0.9971242588841879,0.0,0.003501598642861952,0.0017581259609688853,0.03369000551839361,0.005611985955755991,0.006532437134902788,0.0,0.0,5
P2,top1,0.3794605703865781,0.8960838736171899,0.5330385081242179,0.2303552751623123,0.13127884199236378,0.1359624282611908,0.5189861378345869,0.4810138621654131,0.0,0.8960838736171899,0.9987614584238912,0.01041834265177575,0.02051024963936072,0.010998454359247251,0.04001260342369112,0.010626882650538688,0.014300172393594912,0.01862575422578563,0.01862575422578561,5
P2,mutual,0.5602614774277124,0.8565876125779586,0.6771860984085288,0.5163819518719333,0.2333322261770782,0.23943140161226234,0.7497212878107953,0.25027871218920467,0.0,0.8960838736171899,0.9987614584238912,0.014943547114042827,0.025148497046505083,0.012318592173071312,0.01981956258020592,0.018435035582874765,0.017881179069644752,0.012703431194570257,0.012703431194570272,5
P2,matching,0.5473106450055324,0.8675209585118457,0.6709963744531111,0.5070249817250017,0.2066591904029078,0.20885981554565083,0.738775299617982,0.26122470038201795,0.12486920356750482,0.8960838736171899,0.9987614584238912,0.012510232284942665,0.02208525079229681,0.010318630777300438,0.013978443695272662,0.025811671656252047,0.02106570297590182,0.01257797341141433,0.01257797341141439,5
P2,morph,0.7071929741620815,0.8767696846100644,0.7826872926456268,0.7450720604680798,0.4840848996890478,0.47502592598009763,0.9576015165799454,0.04239848342005448,0.10338578224182124,0.8960838736171899,0.9987614584238912,0.021342315745343267,0.013116287455175134,0.012561691635561712,0.01041733738895376,0.0366196553273114,0.031871775617829376,0.003918988628186596,0.003918988628186584,5
P2,length,0.7259520424792822,0.8726941063289754,0.7923799034339948,0.7676372694586074,0.5202818432036618,0.5072594522924476,0.9812499132622008,0.0187500867377992,0.2405269622802734,0.8960838736171899,0.9987614584238912,0.021782807960815418,0.013122274030927516,0.012963483813172895,0.010180233582792925,0.031522071944891164,0.026314580533000387,0.0039424460976825995,0.003942446097682647,5
P2,full,0.7405900881061573,0.8412815518688982,0.7874270288691866,0.7433728317534342,0.515272361821429,0.5146279856314702,0.9941479381534158,0.00585206184658416,2.1024341106414797,0.8960838736171899,0.9987614584238912,0.023604247303824967,0.018839347850785636,0.013522794543925168,0.015021212490847403,0.030731046619006882,0.024902857187182846,0.001756586467102201,0.0017565864671022313,5
