idx,ari,f1,exact,top1,face_loss_mm,pullout_mean_mm,face_texture_noise,p_gap,p_fragment_lost,breaks_per_slip,hand_accuracy,notch_sigma_mm,notch_tol_mm,width_tol_mm
0,0.7192280347422858,0.7727272727272727,0.5606060606060606,0.78125,1.5853125472553073,0.8530917583033443,0.2696139794774353,0.24922233740799127,0.2326774967648089,1.4203688988462089,0.5154020398855209,0.7249201205559075,12.771377675235271,0.7288917871192098
1,0.7495687941828897,0.7717391304347826,0.6363636363636364,0.8333333333333334,1.028368679061532,0.8530917583033443,0.2696139794774353,0.24922233740799127,0.2326774967648089,1.4203688988462089,0.5154020398855209,0.7249201205559075,12.771377675235271,0.7288917871192098
2,0.7031088104199751,0.7415730337078651,0.5,0.8020833333333334,1.5853125472553073,1.0415985115803779,0.2696139794774353,0.24922233740799127,0.2326774967648089,1.4203688988462089,0.5154020398855209,0.7249201205559075,12.771377675235271,0.7288917871192098
3,0.5896513204636765,0.6626506024096385,0.4393939393939394,0.5,1.5853125472553073,0.8530917583033443,0.530671944702044,0.24922233740799127,0.2326774967648089,1.4203688988462089,0.5154020398855209,0.7249201205559075,12.771377675235271,0.7288917871192098
4,0.6866330360998667,0.7283236994219653,0.49230769230769234,0.7789473684210526,1.5853125472553073,0.8530917583033443,0.2696139794774353,0.26158543713390825,0.2326774967648089,1.4203688988462089,0.5154020398855209,0.7249201205559075,12.771377675235271,0.7288917871192098
5,0.7175686289280029,0.7448979591836735,0.5352112676056338,0.7714285714285715,1.5853125472553073,0.8530917583033443,0.2696139794774353,0.24922233740799127,0.15198792185634374,1.4203688988462089,0.5154020398855209,0.7249201205559075,12.771377675235271,0.7288917871192098
6,0.4814775572032505,0.7126436781609194,0.44036697247706424,0.7486033519553073,1.5853125472553073,0.8530917583033443,0.2696139794774353,0.24922233740799127,0.2326774967648089,3.4944776852615176,0.5154020398855209,0.7249201205559075,12.771377675235271,0.7288917871192098
7,0.7891020721412126,0.8087431693989071,0.6363636363636364,0.78125,1.5853125472553073,0.8530917583033443,0.2696139794774353,0.24922233740799127,0.2326774967648089,1.4203688988462089,0.9646171933412552,0.7249201205559075,12.771377675235271,0.7288917871192098
8,0.6996612538295361,0.742857142857143,0.5454545454545454,0.78125,1.5853125472553073,0.8530917583033443,0.2696139794774353,0.24922233740799127,0.2326774967648089,1.4203688988462089,0.5154020398855209,1.0080660019069911,12.771377675235271,0.7288917871192098
9,0.689376036400093,0.7542857142857142,0.5454545454545454,0.78125,1.5853125472553073,0.8530917583033443,0.2696139794774353,0.24922233740799127,0.2326774967648089,1.4203688988462089,0.5154020398855209,0.7249201205559075,15.988240420818329,0.7288917871192098
