tag,solver,budget_s,n_slips,seed,n_frag,n_arcs,solve_s,status,objective,bound,gap,n_components,max_component,obj_vs_ref,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
scale,monolithic,240.0,1155,0,3289,11153,241.41886973381042,FEASIBLE,17120.993,18313.907,0.06967551473211864,,,,0.598411798071469,0.7611832611832612,0.6700539853921881,0.3908685968819599,0.3663727576771055,1763,1386,0.661595802334167,0.8542257515598412,257,0.14577424844015885
scale,monolithic,2400.0,1155,0,3289,11153,2400.9111557006836,FEASIBLE,17265.479,18083.412,0.04737389562143048,,,144.4860000000008,0.5939726027397261,0.7821067821067821,0.6751790719402055,0.37973273942093544,0.35998783824870784,1825,1386,0.7002207643852874,0.856986301369863,261,0.14301369863013702
scale,decomposed,2400.0,1155,0,3289,11153,2401.1465480327606,FEASIBLE,17277.313000000002,18102.957000000002,0.047787754959350455,56.0,3228.0,11.834000000002561,0.5997813012575177,0.7914862914862915,0.6824261275272162,0.37973273942093544,0.3612040133779264,1829,1386,0.7003298620883887,0.8594860579551667,257,0.14051394204483325
