part,mix,seed,method,n_frag,top1,top50,solve_s,status,coherence,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
uneven,P4_uniform,0,constrained,1173,0.5165692007797271,0.9239766081871345,6.100851535797119,OPTIMAL,0.6003898635477583,0.6583011583011583,0.6647173489278753,0.661493695441319,0.3795180722891566,0.41091219096334186,518,513,0.6355699993053964,0.9285714285714286,37,0.0714285714285714
uneven,P4_uniform,0,bipartite,1173,0.5165692007797271,0.9239766081871345,0.09963822364807129,OPTIMAL,0.6003898635477583,0.315,0.49122807017543857,0.38385376999238385,0.0572289156626506,0.07502131287297528,800,513,0.21833688990220404,0.40375,477,0.59625
uneven,P4_uniform,1,constrained,1177,0.5226415094339623,0.9358490566037736,5.6084887981414795,OPTIMAL,0.6471698113207547,0.6747663551401869,0.6811320754716981,0.6779342723004693,0.338368580060423,0.37638062871707734,535,530,0.6551781767186612,0.9289719626168225,38,0.07102803738317753
uneven,P4_uniform,1,bipartite,1177,0.5226415094339623,0.9358490566037736,0.1139066219329834,OPTIMAL,0.6471698113207547,0.31954887218045114,0.4811320754716981,0.38403614457831325,0.03625377643504532,0.06542056074766354,798,530,0.19454501803854227,0.39097744360902253,486,0.6090225563909775
uneven,P4_uniform,2,constrained,1106,0.5361990950226244,0.9411764705882353,5.051881313323975,OPTIMAL,0.6108597285067874,0.6373165618448637,0.6877828054298643,0.661588683351469,0.4077669902912621,0.43399638336347196,477,442,0.6309533806472315,0.9182389937106918,39,0.08176100628930816
uneven,P4_uniform,2,bipartite,1106,0.5361990950226244,0.9411764705882353,0.09394621849060059,OPTIMAL,0.6108597285067874,0.2897196261682243,0.49095022624434387,0.36439966414777497,0.038834951456310676,0.06962025316455696,749,442,0.199198154594273,0.3925233644859813,455,0.6074766355140186
uneven,P3_to_P5,0,constrained,1173,0.6003898635477583,0.9551656920077972,6.942891597747803,OPTIMAL,0.6003898635477583,0.6612244897959184,0.631578947368421,0.6460618145563309,0.3493975903614458,0.39641943734015345,490,513,0.6292727480130876,0.9326530612244898,33,0.06734693877551023
uneven,P3_to_P5,0,bipartite,1173,0.6003898635477583,0.9551656920077972,0.05654406547546387,OPTIMAL,0.6003898635477583,0.4423380726698262,0.5458089668615984,0.4886561954624782,0.14156626506024098,0.19437340153452684,633,513,0.32887033095512525,0.5766192733017378,268,0.4233807266982622
uneven,P3_to_P5,1,constrained,1177,0.5584905660377358,0.9584905660377359,5.642362833023071,OPTIMAL,0.6471698113207547,0.6607843137254902,0.6358490566037736,0.6480769230769231,0.32326283987915405,0.36873406966864913,510,530,0.6139445020481786,0.9156862745098039,43,0.08431372549019611
uneven,P3_to_P5,1,bipartite,1177,0.5584905660377358,0.9584905660377359,0.05609297752380371,OPTIMAL,0.6471698113207547,0.4192,0.49433962264150944,0.45367965367965374,0.12386706948640483,0.16057774001699235,625,530,0.32314529713447454,0.5456,284,0.4544
uneven,P3_to_P5,2,constrained,1106,0.6018099547511312,0.9638009049773756,5.340353488922119,OPTIMAL,0.6108597285067874,0.6371490280777538,0.667420814479638,0.6519337016574586,0.3851132686084142,0.4231464737793852,463,442,0.629486015385451,0.9287257019438445,33,0.07127429805615548
uneven,P3_to_P5,2,bipartite,1106,0.6018099547511312,0.9638009049773756,0.060404062271118164,OPTIMAL,0.6108597285067874,0.38564273789649417,0.5226244343891403,0.4438040345821326,0.1262135922330097,0.18264014466546113,599,442,0.31616244204962574,0.5475792988313857,271,0.4524207011686143
uneven,P2_to_P5,0,constrained,1173,0.6998050682261209,0.9688109161793372,4.937300443649292,OPTIMAL,0.6003898635477583,0.678373382624769,0.7153996101364523,0.6963946869070209,0.3885542168674699,0.4151747655583973,541,513,0.7142213645472724,0.9426987060998152,31,0.05730129390018479
uneven,P2_to_P5,0,bipartite,1173,0.6998050682261209,0.9688109161793372,0.05348777770996094,OPTIMAL,0.6003898635477583,0.4917541229385307,0.6393762183235867,0.5559322033898305,0.15963855421686746,0.19522591645353793,667,513,0.4061499216445019,0.656671664167916,229,0.343328335832084
uneven,P2_to_P5,1,constrained,1177,0.6849056603773584,0.9735849056603774,4.646129131317139,OPTIMAL,0.6471698113207547,0.6775956284153005,0.7018867924528301,0.6895273401297497,0.3987915407854985,0.40951571792693287,549,530,0.6663829909364161,0.9326047358834244,37,0.06739526411657559
uneven,P2_to_P5,1,bipartite,1177,0.6849056603773584,0.9735849056603774,0.053858280181884766,OPTIMAL,0.6471698113207547,0.4961948249619482,0.6150943396226415,0.5492839090143218,0.16314199395770393,0.18521665250637212,657,530,0.4162779100922601,0.654490106544901,227,0.34550989345509897
uneven,P2_to_P5,2,constrained,1106,0.7171945701357466,0.9773755656108597,4.470663070678711,OPTIMAL,0.6108597285067874,0.6438631790744467,0.7239819004524887,0.6815761448349308,0.43042071197411,0.4412296564195298,497,442,0.7011087311281822,0.9456740442655935,27,0.05432595573440646
uneven,P2_to_P5,2,bipartite,1106,0.7171945701357466,0.9773755656108597,0.053359270095825195,OPTIMAL,0.6108597285067874,0.4639344262295082,0.6402714932126696,0.5380228136882129,0.18446601941747573,0.22423146473779385,610,442,0.4056882963637633,0.6508196721311476,213,0.34918032786885245
