tag,state,seed,n_frag,n_true_joins,top1,top5,top50,coherence,method,theta,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,theta_at_edge,n_arcs
main,P1,0,1200,511,0.9256360078277887,0.9706457925636007,1.0,0.6516634050880626,top1,,0.0,-,0.400679117147708,0.923679060665362,0.5589105979869745,0.12883435582822086,0.13083333333333333,1178,511,0.3211422484718922,0.5619694397283531,516,0.4380305602716469,,
main,P1,0,1200,511,0.9256360078277887,0.9706457925636007,1.0,0.6516634050880626,mutual,,0.0,-,0.568944099378882,0.8962818003913894,0.696048632218845,0.2085889570552147,0.21333333333333335,805,511,0.5609737199165342,0.7900621118012422,169,0.2099378881987578,,
main,P1,0,1200,511,0.9256360078277887,0.9706457925636007,1.0,0.6516634050880626,matching,5.806138481293727,0.0749049186706543,OPTIMAL,0.657185628742515,0.8590998043052838,0.744698897370653,0.3803680981595092,0.3908333333333333,668,511,0.6476003715655607,0.8832335329341318,78,0.11676646706586824,False,793.0
main,P1,0,1200,511,0.9256360078277887,0.9706457925636007,1.0,0.6516634050880626,morph,0.8472978603872034,0.05765342712402344,OPTIMAL,0.633245382585752,0.9393346379647749,0.7565011820330969,0.3803680981595092,0.37,758,511,0.7042865038472865,0.8970976253298153,78,0.1029023746701847,False,919.0
main,P1,0,1200,511,0.9256360078277887,0.9706457925636007,1.0,0.6516634050880626,length,-2.197224577336219,0.3123037815093994,OPTIMAL,0.660427807486631,0.9667318982387475,0.7847498014297061,0.4815950920245399,0.43083333333333335,748,511,0.8483413641102969,0.9398395721925134,45,0.06016042780748665,True,1613.0
main,P1,0,1200,511,0.9256360078277887,0.9706457925636007,1.0,0.6516634050880626,full,-2.197224577336219,2.036731243133545,OPTIMAL,0.6666666666666666,0.9706457925636007,0.7904382470119522,0.48773006134969327,0.4375,744,511,0.8598420205959544,0.9529569892473119,35,0.04704301075268813,True,1533.0
main,P1,0,1200,511,0.9256360078277887,0.9706457925636007,1.0,0.6516634050880626,latent,-2.197224577336219,6.923978567123413,OPTIMAL,0.686030428769018,0.9706457925636007,0.8038897893030794,0.5153374233128835,0.47333333333333333,723,511,0.8722814782642443,0.9764868603042877,17,0.023513139695712337,True,1613.0
main,P1,1,1148,467,0.9421841541755889,0.9807280513918629,0.9978586723768736,0.6616702355460385,top1,,0.0,-,0.3907637655417407,0.9421841541755889,0.5524168236032644,0.13664596273291926,0.13850174216027875,1126,467,0.21791157576146788,0.5683836589698046,486,0.4316163410301954,,
main,P1,1,1148,467,0.9421841541755889,0.9807280513918629,0.9978586723768736,0.6616702355460385,mutual,,0.0,-,0.5567010309278351,0.9250535331905781,0.6950925181013676,0.2546583850931677,0.24825783972125434,776,467,0.5368333467526898,0.7899484536082474,163,0.2100515463917526,,
main,P1,1,1148,467,0.9421841541755889,0.9807280513918629,0.9978586723768736,0.6616702355460385,matching,5.806138481293727,0.07535076141357422,OPTIMAL,0.6334355828220859,0.8843683083511777,0.738159070598749,0.40683229813664595,0.4102787456445993,652,467,0.6699485423595416,0.8865030674846626,74,0.11349693251533743,False,769.0
main,P1,1,1148,467,0.9421841541755889,0.9807280513918629,0.9978586723768736,0.6616702355460385,morph,0.8472978603872034,0.08280086517333984,OPTIMAL,0.6032388663967612,0.9571734475374732,0.7400662251655629,0.32608695652173914,0.32578397212543553,741,467,0.7311811589677699,0.8947368421052632,78,0.10526315789473684,False,912.0
main,P1,1,1148,467,0.9421841541755889,0.9807280513918629,0.9978586723768736,0.6616702355460385,length,-2.197224577336219,0.3531923294067383,OPTIMAL,0.6443812233285917,0.9700214132762313,0.7743589743589743,0.43167701863354035,0.4076655052264808,703,467,0.887541603652167,0.957325746799431,30,0.042674253200568946,True,1542.0
main,P1,1,1148,467,0.9421841541755889,0.9807280513918629,0.9978586723768736,0.6616702355460385,full,-2.197224577336219,1.9229226112365723,OPTIMAL,0.6442857142857142,0.9657387580299786,0.7729220222793486,0.4161490683229814,0.3998257839721254,700,467,0.9001811372486853,0.9714285714285714,20,0.02857142857142858,True,1469.0
main,P1,1,1148,467,0.9421841541755889,0.9807280513918629,0.9978586723768736,0.6616702355460385,latent,-2.197224577336219,11.281780242919922,OPTIMAL,0.656891495601173,0.9593147751605996,0.7798085291557876,0.43167701863354035,0.42160278745644597,682,467,0.9040787163582262,0.9838709677419355,11,0.016129032258064502,True,1542.0
main,P1,2,1105,457,0.925601750547046,0.9824945295404814,1.0,0.6039387308533917,top1,,0.0,-,0.3900184842883549,0.9234135667396062,0.548408057179987,0.1413427561837456,0.14841628959276018,1082,457,0.20466930126292354,0.5360443622920518,502,0.46395563770794823,,
main,P1,2,1105,457,0.925601750547046,0.9824945295404814,1.0,0.6039387308533917,mutual,,0.0,-,0.56353591160221,0.8927789934354485,0.690939881456393,0.24028268551236748,0.24705882352941178,724,457,0.5324436044132607,0.7693370165745856,167,0.23066298342541436,,
main,P1,2,1105,457,0.925601750547046,0.9824945295404814,1.0,0.6039387308533917,matching,5.806138481293727,0.06362771987915039,OPTIMAL,0.6426174496644296,0.838074398249453,0.7274453941120609,0.3957597173144876,0.40180995475113124,596,457,0.6668055927156122,0.8674496644295302,79,0.1325503355704698,False,699.0
main,P1,2,1105,457,0.925601750547046,0.9824945295404814,1.0,0.6039387308533917,morph,0.8472978603872034,0.05577206611633301,OPTIMAL,0.6337209302325582,0.9540481400437637,0.7615720524017467,0.42402826855123676,0.39638009049773754,688,457,0.6969990359703035,0.8808139534883721,82,0.1191860465116279,False,843.0
main,P1,2,1105,457,0.925601750547046,0.9824945295404814,1.0,0.6039387308533917,length,-2.197224577336219,0.28708791732788086,OPTIMAL,0.6666666666666666,0.9671772428884027,0.7892857142857143,0.5477031802120141,0.48687782805429863,663,457,0.8518414394152376,0.9336349924585219,44,0.06636500754147812,True,1448.0
main,P1,2,1105,457,0.925601750547046,0.9824945295404814,1.0,0.6039387308533917,full,-2.197224577336219,1.9641094207763672,OPTIMAL,0.6742424242424242,0.973741794310722,0.7967770814682184,0.558303886925795,0.49411764705882355,660,457,0.887768438581509,0.9545454545454546,30,0.045454545454545414,True,1396.0
main,P1,2,1105,457,0.925601750547046,0.9824945295404814,1.0,0.6039387308533917,latent,-2.197224577336219,10.93947958946228,OPTIMAL,0.6990595611285266,0.975929978118162,0.8146118721461187,0.5830388692579506,0.5312217194570136,638,457,0.8995955474339857,0.9780564263322884,14,0.021943573667711602,True,1448.0
main,P1,3,1121,473,0.9302325581395349,0.9704016913319239,0.9915433403805497,0.6046511627906976,top1,,0.0,-,0.3989071038251366,0.9260042283298098,0.5576066199872692,0.11784511784511785,0.13291703835860838,1098,473,0.2930248898018854,0.5555555555555556,488,0.4444444444444444,,
main,P1,3,1121,473,0.9302325581395349,0.9704016913319239,0.9915433403805497,0.6046511627906976,mutual,,0.0,-,0.5699067909454061,0.904862579281184,0.6993464052287582,0.2356902356902357,0.25245316681534347,751,473,0.5716405790416256,0.7816245006657789,164,0.21837549933422107,,
