tag,case,seed,n_frag,roll_len_sigma_mm,slips_per_roll,theta,solve_s,status,tol,order,roll,roll_key,notch,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
tol_iid,no_notch,0,1200,0.0,30,0.8472978603872034,180.25910449028015,FEASIBLE,16.0,False,False,unit,False,0.5913978494623656,0.7534246575342466,0.6626506024096386,0.3159509202453988,0.32916666666666666,651,511,0.6707837322157072,0.8571428571428571,93,0.1428571428571429
tol_iid,tol16,0,1200,0.0,30,1.7346010553881064,180.18524861335754,FEASIBLE,16.0,False,False,unit,True,0.6494661921708185,0.7142857142857143,0.6803355079217149,0.35276073619631904,0.39166666666666666,562,511,0.6372547784380508,0.902135231316726,55,0.09786476868327398
tol_iid,tol8,0,1200,0.0,30,-0.8472978603872036,180.32818007469177,FEASIBLE,8.0,False,False,unit,True,0.597997138769671,0.8180039138943248,0.6909090909090908,0.37116564417177916,0.35,699,511,0.7202147702265222,0.871244635193133,90,0.128755364806867
tol_iid,tol4,0,1200,0.0,30,0.8472978603872034,180.32511496543884,FEASIBLE,4.0,False,False,unit,True,0.6366612111292962,0.761252446183953,0.6934046345811052,0.3619631901840491,0.38333333333333336,611,511,0.6782246103569906,0.8952536824877251,64,0.10474631751227492
tol_iid,tol2,0,1200,0.0,30,0.8472978603872034,180.37324976921082,FEASIBLE,2.0,False,False,unit,True,0.626057529610829,0.7240704500978473,0.6715063520871143,0.3374233128834356,0.36833333333333335,591,511,0.6394433646456152,0.8815566835871405,70,0.11844331641285955
tol_iid,tol4_order,0,1200,0.0,30,0.8472978603872034,180.25933742523193,FEASIBLE,4.0,True,False,unit,True,0.6384364820846905,0.7671232876712328,0.6968888888888889,0.36809815950920244,0.3908333333333333,614,511,0.6858053351217158,0.9006514657980456,61,0.09934853420195444
tol_iid,no_notch,1,1148,0.0,30,0.8472978603872034,180.1932806968689,FEASIBLE,16.0,False,False,unit,False,0.5803722504230119,0.734475374732334,0.6483931947069943,0.30434782608695654,0.3327526132404181,591,467,0.6572732997280759,0.868020304568528,78,0.13197969543147203
tol_iid,tol16,1,1148,0.0,30,1.7346010553881064,160.14040398597717,OPTIMAL,16.0,False,False,unit,True,0.6266924564796905,0.6937901498929336,0.6585365853658536,0.3385093167701863,0.3893728222996516,517,467,0.622331588231971,0.9090909090909091,47,0.09090909090909094
tol_iid,tol8,1,1148,0.0,30,-0.8472978603872036,180.66102766990662,FEASIBLE,8.0,False,False,unit,True,0.5751533742331288,0.8029978586723768,0.6702412868632708,0.3385093167701863,0.32839721254355403,652,467,0.7221305201735578,0.8711656441717791,84,0.1288343558282209
tol_iid,tol4,1,1148,0.0,30,0.8472978603872034,180.55486917495728,FEASIBLE,4.0,False,False,unit,True,0.6258992805755396,0.7451820128479657,0.6803519061583577,0.3416149068322981,0.38501742160278746,556,467,0.6855852427167928,0.9154676258992805,47,0.08453237410071945
tol_iid,tol2,1,1148,0.0,30,0.8472978603872034,180.24002385139465,FEASIBLE,2.0,False,False,unit,True,0.6167883211678832,0.7237687366167024,0.6660098522167488,0.33229813664596275,0.3710801393728223,548,467,0.6530090493400449,0.9087591240875912,50,0.09124087591240881
tol_iid,tol4_order,1,1148,0.0,30,0.8472978603872034,180.2075183391571,FEASIBLE,4.0,True,False,unit,True,0.6144144144144145,0.7301927194860813,0.6673189823874754,0.3416149068322981,0.3797909407665505,555,467,0.6677455612315871,0.9099099099099099,50,0.09009009009009006
tol_iid,no_notch,2,1105,0.0,30,0.8472978603872034,180.37730383872986,FEASIBLE,16.0,False,False,unit,False,0.6121739130434782,0.7702407002188184,0.6821705426356589,0.40636042402826855,0.39638009049773754,575,457,0.6985745552019224,0.8626086956521739,79,0.1373913043478261
tol_iid,tol16,2,1105,0.0,30,1.7346010553881064,137.8593945503235,OPTIMAL,16.0,False,False,unit,True,0.6754032258064516,0.7330415754923414,0.7030430220356769,0.4275618374558304,0.4497737556561086,496,457,0.6728073385542462,0.9173387096774194,41,0.08266129032258063
tol_iid,tol8,2,1105,0.0,30,-0.8472978603872036,180.67876029014587,FEASIBLE,8.0,False,False,unit,True,0.6087662337662337,0.8205689277899344,0.6989748369058715,0.4416961130742049,0.4081447963800905,616,457,0.7429293640751178,0.8701298701298701,80,0.1298701298701299
tol_iid,tol4,2,1105,0.0,30,0.8472978603872034,180.5481719970703,FEASIBLE,4.0,False,False,unit,True,0.6642201834862386,0.7921225382932167,0.7225548902195609,0.4734982332155477,0.47058823529411764,545,457,0.7156494225925413,0.9100917431192661,49,0.0899082568807339
tol_iid,tol2,2,1105,0.0,30,0.8472978603872034,180.63399863243103,FEASIBLE,2.0,False,False,unit,True,0.6578449905482041,0.7614879649890591,0.7058823529411764,0.44876325088339225,0.448868778280543,529,457,0.6863049073192832,0.9017013232514177,52,0.09829867674858228
tol_iid,tol4_order,2,1105,0.0,30,0.8472978603872034,180.57429885864258,FEASIBLE,4.0,True,False,unit,True,0.6722222222222223,0.7943107221006565,0.7281845536609829,0.48056537102473496,0.47330316742081446,540,457,0.7191476583426423,0.9166666666666666,45,0.08333333333333337
tol_roll,no_notch,0,1158,2.0,30,0.0,180.51434302330017,FEASIBLE,16.0,False,False,unit,False,0.563338301043219,0.7651821862348178,0.6489270386266095,0.33557046979865773,0.3126079447322971,671,494,0.6803751657759605,0.8390461997019374,108,0.1609538002980626
tol_roll,tol16,0,1158,2.0,30,0.0,180.5307159423828,FEASIBLE,16.0,False,False,unit,True,0.6087636932707355,0.7874493927125507,0.6866725507502207,0.38926174496644295,0.3747841105354059,639,494,0.7149291611457188,0.8841940532081377,74,0.11580594679186229
