tag,method,seed,n_frag,disperse_sigma_mm,block_mm,unit_known_frac,unit_error_frac,coherence,radius,theta,n_arcs,arc_recall,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
record,context_hard,0,1200,30.0,250.0,1.0,0.1,0.5675146771037182,1,0.8472978603872034,2037,0.5401174168297456,180.41998553276062,FEASIBLE,0.5740740740740741,0.48532289628180036,0.5259809119830329,0.2147239263803681,0.31,432,511,0.43379375191691105,0.8101851851851852,82,0.18981481481481477
record,context_soft,0,1200,30.0,250.0,1.0,0.1,0.5675146771037182,1,0.8472978603872034,2550,0.8532289628180039,180.2494339942932,FEASIBLE,0.6124401913875598,0.7514677103718199,0.6748681898066783,0.3588957055214724,0.37083333333333335,627,511,0.6761226311966637,0.8803827751196173,75,0.11961722488038273
record,context_hard,1,1148,30.0,250.0,1.0,0.1,0.5610278372591007,1,0.8472978603872034,1659,0.5331905781584583,180.40231800079346,FEASIBLE,0.5807291666666666,0.47751605995717344,0.5240893066980024,0.2236024844720497,0.3362369337979094,384,467,0.4497329775523329,0.8567708333333334,55,0.14322916666666663
record,context_soft,1,1148,30.0,250.0,1.0,0.1,0.5610278372591007,1,0.8472978603872034,2363,0.8372591006423983,180.21264481544495,FEASIBLE,0.6003521126760564,0.7301927194860813,0.658937198067633,0.32298136645962733,0.3667247386759582,568,467,0.6660716363802212,0.8873239436619719,64,0.11267605633802813
record,context_hard,2,1105,30.0,250.0,1.0,0.1,0.5010940919037199,1,0.8472978603872034,1655,0.5010940919037199,180.25067925453186,FEASIBLE,0.5658263305322129,0.4420131291028446,0.4963144963144963,0.2332155477031802,0.3429864253393665,357,457,0.4158393793432381,0.7983193277310925,72,0.2016806722689075
record,context_soft,2,1105,30.0,250.0,1.0,0.1,0.5010940919037199,1,0.8472978603872034,2267,0.8402625820568927,180.19709038734436,FEASIBLE,0.616822429906542,0.7221006564551422,0.6653225806451611,0.4134275618374558,0.41990950226244345,535,457,0.6615083343980978,0.8635514018691589,73,0.1364485981308411
record,context_hard,0,1200,30.0,250.0,1.0,0.3,0.4090019569471624,3,2.9444389791664394,781,0.34637964774951074,54.197187662124634,OPTIMAL,0.5992063492063492,0.29549902152641877,0.3958060288335518,0.15950920245398773,0.3283333333333333,252,511,0.2662377761617309,0.8214285714285714,45,0.1785714285714286
record,context_soft,0,1200,30.0,250.0,1.0,0.3,0.4090019569471624,3,0.8472978603872034,4276,0.8590998043052838,180.24232387542725,FEASIBLE,0.5805946791862285,0.726027397260274,0.645217391304348,0.34355828220858897,0.3408333333333333,639,511,0.5872790346518277,0.7965571205007824,130,0.20344287949921758
record,context_hard,1,1148,30.0,250.0,1.0,0.3,0.39828693790149894,3,2.9444389791664394,702,0.3683083511777302,28.042471408843994,OPTIMAL,0.6355555555555555,0.30620985010706636,0.4132947976878612,0.18633540372670807,0.367595818815331,225,467,0.2726434554268819,0.8622222222222222,31,0.13777777777777778
record,context_soft,1,1148,30.0,250.0,1.0,0.3,0.39828693790149894,3,0.8472978603872034,3964,0.8586723768736617,180.23132038116455,FEASIBLE,0.563973063973064,0.7173447537473233,0.6314797360980207,0.3105590062111801,0.3318815331010453,594,467,0.5996814490622204,0.8148148148148148,110,0.18518518518518523
