tag,state,seed,n_frag,n_true_joins,top1,top5,top50,coherence,method,theta,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,theta_at_edge,n_arcs
main,P4,0,429,185,0.5945945945945946,0.8216216216216217,0.9783783783783784,0.654054054054054,top1,,0.0,-,0.2564102564102564,0.5945945945945946,0.3583061889250814,0.09448818897637795,0.10023310023310024,429,185,0.14227609368284083,0.34265734265734266,282,0.6573426573426573,,
main,P4,0,429,185,0.5945945945945946,0.8216216216216217,0.9783783783783784,0.654054054054054,mutual,,0.0,-,0.40611353711790393,0.5027027027027027,0.44927536231884063,0.14173228346456693,0.17482517482517482,229,185,0.3014236579853219,0.5327510917030568,107,0.4672489082969432,,
main,P4,0,429,185,0.5945945945945946,0.8216216216216217,0.9783783783783784,0.654054054054054,matching,4.595119850134589,0.030606985092163086,OPTIMAL,0.3958333333333333,0.5135135135135135,0.44705882352941173,0.15748031496062992,0.1864801864801865,240,185,0.317192500336286,0.5208333333333334,115,0.47916666666666663,False,474.0
main,P4,0,429,185,0.5945945945945946,0.8216216216216217,0.9783783783783784,0.654054054054054,morph,2.9444389791664394,0.04213261604309082,OPTIMAL,0.5868544600938967,0.6756756756756757,0.628140703517588,0.33070866141732286,0.35664335664335667,213,185,0.5184616051796815,0.7887323943661971,45,0.21126760563380287,False,301.0
main,P4,0,429,185,0.5945945945945946,0.8216216216216217,0.9783783783783784,0.654054054054054,length,2.9444389791664394,0.04333758354187012,OPTIMAL,0.6354166666666666,0.6594594594594595,0.6472148541114059,0.3779527559055118,0.40792540792540793,192,185,0.5471160627521715,0.8385416666666666,31,0.16145833333333337,False,292.0
main,P4,0,429,185,0.5945945945945946,0.8216216216216217,0.9783783783783784,0.654054054054054,full,1.7346010553881064,0.30191874504089355,OPTIMAL,0.6025641025641025,0.7621621621621621,0.6730310262529833,0.3937007874015748,0.3916083916083916,234,185,0.6871628548585854,0.8547008547008547,34,0.14529914529914534,False,483.0
main,P4,0,429,185,0.5945945945945946,0.8216216216216217,0.9783783783783784,0.654054054054054,latent,-0.8472978603872036,900.4120051860809,FEASIBLE,0.6188524590163934,0.8162162162162162,0.7039627039627039,0.4330708661417323,0.4125874125874126,244,185,0.7473970885657326,0.8811475409836066,29,0.11885245901639341,False,1581.0
main,P4,1,435,182,0.6428571428571429,0.8021978021978022,0.978021978021978,0.5989010989010989,top1,,0.0,-,0.2689655172413793,0.6428571428571429,0.3792544570502431,0.078125,0.09425287356321839,435,182,0.18866328875623659,0.38620689655172413,267,0.6137931034482759,,
main,P4,1,435,182,0.6428571428571429,0.8021978021978022,0.978021978021978,0.5989010989010989,mutual,,0.0,-,0.4166666666666667,0.5494505494505495,0.47393364928909953,0.15625,0.17011494252873563,240,182,0.33200887162421044,0.5708333333333333,103,0.4291666666666667,,
main,P4,1,435,182,0.6428571428571429,0.8021978021978022,0.978021978021978,0.5989010989010989,matching,4.595119850134589,0.03256869316101074,OPTIMAL,0.390625,0.5494505494505495,0.4566210045662101,0.1015625,0.13333333333333333,256,182,0.28149276140730267,0.53515625,119,0.46484375,False,483.0
main,P4,1,435,182,0.6428571428571429,0.8021978021978022,0.978021978021978,0.5989010989010989,morph,2.9444389791664394,0.027948617935180664,OPTIMAL,0.536697247706422,0.6428571428571429,0.585,0.234375,0.25517241379310346,218,182,0.4832389179662305,0.7935779816513762,45,0.20642201834862384,False,317.0
main,P4,1,435,182,0.6428571428571429,0.8021978021978022,0.978021978021978,0.5989010989010989,length,2.9444389791664394,0.04478716850280762,OPTIMAL,0.5742574257425742,0.6373626373626373,0.6041666666666666,0.2734375,0.296551724137931,202,182,0.5145737606120039,0.8316831683168316,34,0.16831683168316836,False,308.0
main,P4,1,435,182,0.6428571428571429,0.8021978021978022,0.978021978021978,0.5989010989010989,full,1.7346010553881064,0.561044454574585,OPTIMAL,0.573170731707317,0.7747252747252747,0.6588785046728972,0.265625,0.25287356321839083,246,182,0.730785623576613,0.8780487804878049,30,0.12195121951219512,False,534.0
main,P4,1,435,182,0.6428571428571429,0.8021978021978022,0.978021978021978,0.5989010989010989,latent,-0.8472978603872036,900.1396713256836,FEASIBLE,0.5811320754716981,0.8461538461538461,0.6890380313199105,0.28125,0.2827586206896552,265,182,0.7810349454042562,0.8716981132075472,34,0.1283018867924528,False,1711.0
main,P4,2,412,175,0.6114285714285714,0.84,0.9885714285714285,0.5371428571428571,top1,,0.0,-,0.25970873786407767,0.6114285714285714,0.36456558773424186,0.11214953271028037,0.13592233009708737,412,175,0.1805877941186006,0.35436893203883496,266,0.645631067961165,,
main,P4,2,412,175,0.6114285714285714,0.84,0.9885714285714285,0.5371428571428571,mutual,,0.0,-,0.44651162790697674,0.5485714285714286,0.4923076923076923,0.16822429906542055,0.2087378640776699,215,175,0.35006945553221674,0.586046511627907,89,0.413953488372093,,
main,P4,2,412,175,0.6114285714285714,0.84,0.9885714285714285,0.5371428571428571,matching,4.595119850134589,0.04239010810852051,OPTIMAL,0.4189189189189189,0.5314285714285715,0.46851385390428213,0.14953271028037382,0.17475728155339806,222,175,0.3173924226174268,0.545045045045045,101,0.45495495495495497,False,424.0
main,P4,2,412,175,0.6114285714285714,0.84,0.9885714285714285,0.5371428571428571,morph,2.9444389791664394,0.02178192138671875,OPTIMAL,0.5851063829787234,0.6285714285714286,0.6060606060606061,0.2803738317757009,0.3276699029126214,188,175,0.4946033009437302,0.7872340425531915,40,0.21276595744680848,False,253.0
main,P4,2,412,175,0.6114285714285714,0.84,0.9885714285714285,0.5371428571428571,length,2.9444389791664394,0.03543806076049805,OPTIMAL,0.6484848484848484,0.6114285714285714,0.6294117647058823,0.32710280373831774,0.3883495145631068,165,175,0.5427183182022411,0.8666666666666667,22,0.1333333333333333,False,237.0
main,P4,2,412,175,0.6114285714285714,0.84,0.9885714285714285,0.5371428571428571,full,1.7346010553881064,0.47038936614990234,OPTIMAL,0.625,0.7714285714285715,0.690537084398977,0.4392523364485981,0.42475728155339804,216,175,0.7075380522226338,0.8657407407407407,29,0.1342592592592593,False,463.0
main,P4,2,412,175,0.6114285714285714,0.84,0.9885714285714285,0.5371428571428571,latent,-0.8472978603872036,877.0344297885895,OPTIMAL,0.6431718061674009,0.8342857142857143,0.7263681592039801,0.5046728971962616,0.48058252427184467,227,175,0.7837796894443543,0.8986784140969163,23,0.10132158590308371,False,1483.0
main,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,top1,,0.0,-,0.22083333333333333,0.5185909980430529,0.30976037405026297,0.05828220858895705,0.08583333333333333,1200,511,0.09439420912209379,0.2966666666666667,844,0.7033333333333334,,
main,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,mutual,,0.0,-,0.37796610169491524,0.436399217221135,0.405086285195277,0.13190184049079753,0.18,590,511,0.2655480127059913,0.5,295,0.5,,
main,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,matching,4.595119850134589,0.10480260848999023,OPTIMAL,0.29865361077111385,0.4774951076320939,0.36746987951807225,0.03987730061349693,0.07083333333333333,817,511,0.194506342417447,0.3990208078335373,491,0.6009791921664627,False,2941.0
main,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,morph,2.9444389791664394,0.07337737083435059,OPTIMAL,0.5457413249211357,0.6771037181996086,0.6043668122270742,0.24233128834355827,0.2733333333333333,634,511,0.4929672954605962,0.7634069400630915,150,0.2365930599369085,False,960.0
main,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,length,2.9444389791664394,0.22261500358581543,OPTIMAL,0.5908289241622575,0.6555772994129159,0.6215213358070502,0.3098159509202454,0.335,567,511,0.5398586009443282,0.8130511463844797,106,0.18694885361552027,False,928.0
main,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,full,1.7346010553881064,12.252671241760254,OPTIMAL,0.5777126099706745,0.7710371819960861,0.6605196982397318,0.3220858895705521,0.31416666666666665,682,511,0.6595079952835953,0.8328445747800587,114,0.1671554252199413,False,1584.0
main,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,latent,-1.3862943611198906,900.4729678630829,FEASIBLE,0.576662143826323,0.8317025440313112,0.6810897435897436,0.3588957055214724,0.3233333333333333,737,511,0.7283689863403464,0.8466757123473542,113,0.15332428765264583,False,7118.0
main,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,top1,,0.0,-,0.2029616724738676,0.4989293361884368,0.28854489164086683,0.055900621118012424,0.09059233449477352,1148,467,0.11496557565410293,0.28397212543554007,822,0.7160278745644599,,
main,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,mutual,,0.0,-,0.3263525305410122,0.4004282655246253,0.3596153846153846,0.11490683229813664,0.16550522648083624,573,467,0.2311425013638077,0.44851657940663175,316,0.5514834205933683,,
main,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,matching,4.595119850134589,0.11712074279785156,OPTIMAL,0.2690863579474343,0.4603854389721627,0.339652448657188,0.040372670807453416,0.06097560975609756,799,467,0.17714537319147228,0.3704630788485607,503,0.6295369211514392,False,2665.0
main,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,morph,2.9444389791664394,0.06374382972717285,OPTIMAL,0.5143824027072758,0.6509635974304069,0.5746691871455576,0.21428571428571427,0.26306620209059234,591,467,0.4615071932009705,0.7428087986463621,152,0.25719120135363793,False,884.0
main,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,length,2.9444389791664394,0.15952777862548828,OPTIMAL,0.566793893129771,0.6359743040685225,0.5993945509586277,0.2826086956521739,0.3310104529616725,524,467,0.49767555822413956,0.7881679389312977,111,0.21183206106870234,False,833.0
main,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,full,1.7346010553881064,5.239410400390625,OPTIMAL,0.5504731861198738,0.7473233404710921,0.633969118982743,0.2670807453416149,0.2770034843205575,634,467,0.6660200874303982,0.832807570977918,106,0.16719242902208198,False,1477.0
