tag,case,seed,n_frag,theta,roll_len_sigma_mm,slips_per_roll,solve_s,status,notch,roll,key,K,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
roll_none,no_notch,0,1200,-0.8472978603872036,0.0,30,180.68846106529236,FEASIBLE,False,False,unit,1,0.5618131868131868,0.8003913894324853,0.6602098466505245,0.3128834355828221,0.2966666666666667,728,511,0.6939462739920591,0.8324175824175825,122,0.16758241758241754
roll_none,no_notch,0,1200,0.0,0.0,30,180.41057538986206,FEASIBLE,False,False,unit,1,0.5855072463768116,0.7906066536203522,0.6727726894254787,0.3220858895705521,0.31833333333333336,690,511,0.6919882292461821,0.855072463768116,100,0.14492753623188404
roll_none,no_notch,0,1200,0.8472978603872034,0.0,30,180.26067805290222,FEASIBLE,False,False,unit,1,0.5960061443932412,0.7592954990215264,0.6678141135972462,0.31901840490797545,0.3325,651,511,0.6760132459506583,0.8617511520737328,90,0.13824884792626724
roll_none,no_notch,0,1200,1.7346010553881064,0.0,30,141.83849787712097,OPTIMAL,False,False,unit,1,0.6217616580310881,0.7045009784735812,0.6605504587155963,0.32515337423312884,0.36583333333333334,579,511,0.6317146632694215,0.8791018998272885,70,0.12089810017271152
roll_none,no_notch,0,1200,2.9444389791664394,0.0,30,1.3476619720458984,OPTIMAL,False,False,unit,1,0.6573875802997858,0.6007827788649707,0.6278118609406953,0.29754601226993865,0.37583333333333335,467,511,0.5385738435150101,0.9057815845824411,44,0.09421841541755893
roll_none,no_notch,0,1200,4.595119850134589,0.0,30,0.528590202331543,OPTIMAL,False,False,unit,1,0.7152317880794702,0.4227005870841487,0.5313653136531364,0.2331288343558282,0.375,302,511,0.3671622182258924,0.9470198675496688,16,0.052980132450331174
roll_none,no_notch,0,1200,5.806138481293727,0.0,30,0.3846554756164551,OPTIMAL,False,False,unit,1,0.7401129943502824,0.2563600782778865,0.38081395348837205,0.12883435582822086,0.34,177,511,0.22026193303381048,0.9717514124293786,5,0.02824858757062143
roll_none,no_notch,0,1200,8.11142803829918,0.0,30,0.2718629837036133,OPTIMAL,False,False,unit,1,0.7619047619047619,0.06262230919765166,0.11573236889692586,0.03067484662576687,0.30833333333333335,42,511,0.05077698719513162,1.0,0,0.0
roll_none,notch,0,1200,-0.8472978603872036,0.0,30,180.4642505645752,FEASIBLE,True,False,unit,1,0.5985401459854015,0.8023483365949119,0.6856187290969901,0.3895705521472393,0.36,685,511,0.7015770023115261,0.8700729927007299,89,0.1299270072992701
roll_none,notch,0,1200,0.0,0.0,30,180.30093121528625,FEASIBLE,True,False,unit,1,0.6185410334346505,0.7964774951076321,0.6963216424294268,0.3773006134969325,0.36916666666666664,658,511,0.716258904005189,0.8966565349544073,68,0.10334346504559266
roll_none,notch,0,1200,0.8472978603872034,0.0,30,180.29020762443542,FEASIBLE,True,False,unit,1,0.6372549019607843,0.7632093933463796,0.6945681211041851,0.37423312883435583,0.39416666666666667,612,511,0.6865691771233808,0.9035947712418301,59,0.09640522875816993
roll_none,notch,0,1200,1.7346010553881064,0.0,30,180.39216899871826,FEASIBLE,True,False,unit,1,0.655045871559633,0.6986301369863014,0.6761363636363636,0.3558282208588957,0.40166666666666667,545,511,0.624104157685768,0.9100917431192661,49,0.0899082568807339
roll_none,notch,0,1200,2.9444389791664394,0.0,30,14.89309573173523,OPTIMAL,True,False,unit,1,0.6909090909090909,0.5949119373776908,0.6393270241850684,0.31901840490797545,0.405,440,511,0.5315649542786163,0.9363636363636364,28,0.0636363636363636
roll_none,notch,0,1200,4.595119850134589,0.0,30,3.296607732772827,OPTIMAL,True,False,unit,1,0.7526501766784452,0.41682974559686886,0.5365239294710328,0.2331288343558282,0.38333333333333336,283,511,0.35578883449114923,0.9752650176678446,7,0.02473498233215543
roll_none,notch,0,1200,5.806138481293727,0.0,30,2.444718599319458,OPTIMAL,True,False,unit,1,0.7678571428571429,0.25244618395303325,0.3799705449189985,0.12576687116564417,0.3425,168,511,0.21509540514715683,0.9940476190476191,1,0.005952380952380931
roll_none,notch,0,1200,8.11142803829918,0.0,30,0.7869901657104492,OPTIMAL,True,False,unit,1,0.75,0.05870841487279843,0.1088929219600726,0.027607361963190184,0.30666666666666664,40,511,0.04847237461253332,1.0,0,0.0
