tag,case,seed,n_frag,theta,roll_len_sigma_mm,slips_per_roll,solve_s,status,notch,roll,key,K,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
roll_typical,no_notch,0,1158,-0.8472978603872036,2.0,30,180.73079562187195,FEASIBLE,False,False,unit,1,0.5584045584045584,0.7935222672064778,0.6555183946488294,0.3422818791946309,0.31951640759930916,702,494,0.7045127340397017,0.8319088319088319,118,0.16809116809116809
roll_typical,no_notch,0,1158,0.0,2.0,30,180.23889350891113,FEASIBLE,False,False,unit,1,0.5575485799701047,0.7550607287449392,0.6414445399828032,0.3288590604026846,0.307426597582038,669,494,0.6650156199665672,0.828101644245142,115,0.171898355754858
roll_typical,no_notch,0,1158,0.8472978603872034,2.0,30,180.40677618980408,FEASIBLE,False,False,unit,1,0.6060100166944908,0.7348178137651822,0.6642268984446478,0.37583892617449666,0.36787564766839376,599,494,0.6629018874090972,0.8714524207011686,77,0.12854757929883143
roll_typical,no_notch,0,1158,1.7346010553881064,2.0,30,11.548507690429688,OPTIMAL,False,False,unit,1,0.64030131826742,0.6882591093117408,0.6634146341463414,0.37583892617449666,0.39378238341968913,531,494,0.6321853614601125,0.9077212806026366,49,0.09227871939736343
roll_typical,no_notch,0,1158,2.9444389791664394,2.0,30,1.0419731140136719,OPTIMAL,False,False,unit,1,0.673469387755102,0.5344129554655871,0.5959367945823928,0.3221476510067114,0.3920552677029361,392,494,0.47844324842001085,0.923469387755102,30,0.07653061224489799
roll_typical,no_notch,0,1158,4.595119850134589,2.0,30,0.3282790184020996,OPTIMAL,False,False,unit,1,0.6986899563318777,0.32388663967611336,0.4426002766251729,0.1912751677852349,0.35837651122625214,229,494,0.28825620231441823,0.9475982532751092,12,0.05240174672489084
roll_typical,no_notch,0,1158,5.806138481293727,2.0,30,0.22041964530944824,OPTIMAL,False,False,unit,1,0.7894736842105263,0.2125506072874494,0.3349282296650718,0.12751677852348994,0.3635578583765112,133,494,0.17601687878168837,0.9624060150375939,5,0.03759398496240607
roll_typical,no_notch,0,1158,8.11142803829918,2.0,30,0.142625093460083,OPTIMAL,False,False,unit,1,0.8620689655172413,0.05060728744939271,0.09560229445506693,0.02348993288590604,0.3229706390328152,29,494,0.03758058080451747,1.0,0,0.0
roll_typical,notch,0,1158,-0.8472978603872036,2.0,30,180.46421146392822,FEASIBLE,True,False,unit,1,0.5859969558599696,0.7793522267206477,0.6689834926151172,0.37919463087248323,0.36614853195164077,657,494,0.7098270042523754,0.8584474885844748,93,0.14155251141552516
roll_typical,notch,0,1158,0.0,2.0,30,180.37710070610046,FEASIBLE,True,False,unit,1,0.6114754098360655,0.7550607287449392,0.6757246376811593,0.412751677852349,0.39291882556131263,610,494,0.6681611368959087,0.8786885245901639,74,0.12131147540983611
roll_typical,notch,0,1158,0.8472978603872034,2.0,30,180.2139537334442,FEASIBLE,True,False,unit,1,0.6524822695035462,0.7449392712550608,0.6956521739130436,0.412751677852349,0.4170984455958549,564,494,0.6797778725580228,0.9184397163120568,46,0.08156028368794321
roll_typical,notch,0,1158,1.7346010553881064,2.0,30,130.52664232254028,OPTIMAL,True,False,unit,1,0.6741344195519349,0.6700404858299596,0.6720812182741117,0.3859060402684564,0.41278065630397237,491,494,0.6094947090298599,0.9307535641547862,34,0.06924643584521384
