source,fragments
truth,1
truth,2
truth,1
truth,2
truth,3
truth,1
truth,2
truth,1
truth,1
truth,1
truth,3
truth,1
truth,1
truth,2
truth,2
truth,1
truth,1
truth,1
truth,2
truth,1
truth,2
truth,1
truth,1
truth,1
truth,4
truth,1
truth,3
truth,1
truth,1
truth,1
truth,3
truth,1
truth,2
truth,3
truth,1
truth,1
truth,1
truth,2
truth,2
truth,2
truth,1
truth,2
truth,4
truth,1
truth,2
truth,1
truth,2
truth,1
truth,2
truth,2
truth,2
truth,1
truth,2
truth,2
truth,1
truth,1
truth,1
truth,1
truth,1
truth,4
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,3
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,2
truth,3
truth,1
truth,5
truth,1
truth,1
truth,2
truth,1
truth,2
truth,1
truth,1
truth,2
truth,1
truth,3
truth,1
truth,1
truth,3
truth,1
truth,2
truth,2
truth,2
truth,3
truth,2
truth,1
truth,3
truth,3
truth,2
truth,3
truth,2
truth,2
truth,2
truth,1
truth,1
truth,3
truth,3
truth,2
truth,1
truth,3
truth,1
truth,1
truth,1
truth,2
truth,3
truth,1
truth,2
truth,1
truth,1
truth,3
truth,2
truth,2
truth,3
truth,1
truth,3
truth,3
truth,3
truth,1
truth,3
truth,1
truth,2
truth,1
truth,2
truth,1
truth,2
truth,3
truth,1
truth,3
truth,1
truth,1
truth,3
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,2
truth,1
truth,1
truth,1
truth,1
truth,2
truth,2
truth,2
truth,1
truth,1
truth,3
truth,3
truth,1
truth,4
truth,1
truth,1
truth,2
truth,1
truth,1
truth,2
truth,1
truth,2
truth,1
truth,3
truth,1
truth,2
truth,1
truth,2
truth,2
truth,2
truth,1
truth,2
truth,1
truth,1
truth,1
truth,2
truth,1
truth,2
truth,1
truth,2
truth,2
truth,1
truth,1
truth,4
truth,4
truth,4
truth,4
truth,1
truth,1
truth,1
truth,3
truth,1
truth,1
truth,1
truth,2
truth,5
truth,1
truth,2
truth,1
truth,1
truth,2
truth,1
truth,2
truth,1
truth,2
truth,4
truth,1
truth,1
truth,2
truth,1
truth,4
truth,3
truth,1
truth,2
truth,1
truth,1
truth,1
truth,4
truth,4
truth,4
truth,1
truth,2
truth,1
truth,1
truth,2
truth,3
truth,2
truth,1
truth,1
truth,1
truth,2
truth,2
truth,1
truth,2
truth,1
truth,2
truth,6
truth,1
truth,3
truth,1
truth,2
truth,2
truth,1
truth,3
truth,1
truth,2
truth,1
truth,2
truth,2
truth,4
truth,3
truth,2
truth,1
truth,2
truth,2
truth,1
truth,2
truth,1
truth,1
truth,3
truth,1
truth,3
truth,3
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,2
truth,2
truth,1
truth,1
truth,1
truth,3
truth,2
truth,2
truth,2
truth,1
truth,1
truth,2
truth,1
truth,1
truth,1
truth,1
truth,2
truth,2
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,2
truth,2
truth,2
truth,2
truth,3
truth,2
truth,1
reconstructed,1
reconstructed,1
reconstructed,5
reconstructed,5
reconstructed,3
reconstructed,1
reconstructed,2
reconstructed,1
reconstructed,1
reconstructed,2
reconstructed,1
reconstructed,3
reconstructed,1
reconstructed,3
reconstructed,4
reconstructed,1
reconstructed,2
reconstructed,3
reconstructed,4
reconstructed,2
reconstructed,3
reconstructed,2
reconstructed,2
reconstructed,1
reconstructed,2
reconstructed,1
reconstructed,1
reconstructed,2
reconstructed,4
reconstructed,2
reconstructed,3
reconstructed,1
reconstructed,3
reconstructed,2
reconstructed,1
reconstructed,1
reconstructed,3
reconstructed,4
reconstructed,2
reconstructed,3
reconstructed,1
reconstructed,5
reconstructed,3
reconstructed,4
reconstructed,2
reconstructed,3
reconstructed,1
reconstructed,4
reconstructed,2
reconstructed,1
reconstructed,1
reconstructed,2
reconstructed,1
reconstructed,2
reconstructed,3
reconstructed,1
reconstructed,2
reconstructed,2
reconstructed,4
reconstructed,2
reconstructed,2
reconstructed,3
reconstructed,3
reconstructed,1
reconstructed,2
reconstructed,3
reconstructed,4
reconstructed,1
reconstructed,1
reconstructed,1
reconstructed,3
reconstructed,2
reconstructed,3
reconstructed,4
reconstructed,1
reconstructed,3
reconstructed,4
reconstructed,2
reconstructed,3
reconstructed,2
reconstructed,4
reconstructed,1
reconstructed,4
reconstructed,4
reconstructed,1
reconstructed,2
