state,seed,method,theta,n_frag,status,solve_s,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
P2,0,full,-2.197224577336219,1200,OPTIMAL,40.59320831298828,0.6361290322580645,0.9647749510763209,0.7667185069984448,0.4233128834355828,0.3725,775,511,0.8578236280914087,0.9303225806451613,54,0.06967741935483873
P2,0,full,-1.3862943611198906,1200,OPTIMAL,8.914775371551514,0.643979057591623,0.9628180039138943,0.7717647058823529,0.4325153374233129,0.38666666666666666,764,511,0.8485227199088617,0.9358638743455497,49,0.06413612565445026
P2,0,full,-0.8472978603872036,1200,OPTIMAL,8.201521635055542,0.6538461538461539,0.9647749510763209,0.7794466403162055,0.4539877300613497,0.4075,754,511,0.8442819402814378,0.9416445623342176,44,0.05835543766578244
P2,0,full,0.0,1200,OPTIMAL,2.1921491622924805,0.661744966442953,0.9647749510763209,0.785031847133758,0.4754601226993865,0.42583333333333334,745,511,0.8527170116621428,0.9530201342281879,35,0.046979865771812124
P2,0,full,0.8472978603872034,1200,OPTIMAL,1.7465379238128662,0.6707482993197279,0.9647749510763209,0.7913322632423756,0.49079754601226994,0.44416666666666665,735,511,0.8593959287639003,0.964625850340136,26,0.03537414965986396
P2,0,full,1.7346010553881064,1200,OPTIMAL,1.3952207565307617,0.6828929068150209,0.9608610567514677,0.7983739837398375,0.5,0.4608333333333333,719,511,0.847704990604899,0.9735744089012517,19,0.026425591098748313
P2,0,full,2.9444389791664394,1200,OPTIMAL,1.1150212287902832,0.7007299270072993,0.9393346379647749,0.8026755852842808,0.50920245398773,0.4841666666666667,685,511,0.8260478896166239,0.9795620437956204,14,0.020437956204379604
P2,0,full,4.595119850134589,1200,OPTIMAL,0.8516311645507812,0.7193548387096774,0.87279843444227,0.78868258178603,0.49693251533742333,0.4891666666666667,620,511,0.7707016442976046,0.9903225806451613,6,0.009677419354838679
P2,0,full,5.806138481293727,1200,OPTIMAL,0.8069736957550049,0.7239583333333334,0.8160469667318982,0.767249310027599,0.4815950920245399,0.48833333333333334,576,511,0.7167440757780122,0.9913194444444444,5,0.00868055555555558
P2,0,full,8.11142803829918,1200,OPTIMAL,0.8781232833862305,0.7553956834532374,0.6164383561643836,0.6788793103448275,0.3803680981595092,0.4483333333333333,417,511,0.5229602789145761,1.0,0,0.0
