tag,state,seed,n_frag,n_true_joins,top1,top5,top50,coherence,method,theta,theta_at_edge,solve_s,status,n_arcs,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
ablation,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,latent,0.0,False,180.1949324607849,FEASIBLE,2166,0.6690340909090909,0.9217221135029354,0.7753086419753087,0.4662576687116564,0.4325,704,511,0.8269568044002682,0.9588068181818182,29,0.04119318181818177
ablation,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,no_length,1.7346010553881064,False,4.424129247665405,OPTIMAL,1256,0.6333333333333333,0.8551859099804305,0.7277268942547876,0.36503067484662577,0.375,690,511,0.7185104391010412,0.908695652173913,63,0.09130434782608698
ablation,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,no_notch,-2.197224577336219,True,180.27118492126465,FEASIBLE,4942,0.6238532110091743,0.9315068493150684,0.7472527472527473,0.4233128834355828,0.375,763,511,0.8180500550351794,0.9017038007863696,75,0.09829619921363042
ablation,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,no_width,0.0,False,180.23897981643677,FEASIBLE,3774,0.6676056338028169,0.9275929549902152,0.7764127764127765,0.4754601226993865,0.44083333333333335,710,511,0.8233715932744352,0.9507042253521126,35,0.04929577464788737
ablation,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,no_strat,0.0,False,180.72530031204224,FEASIBLE,13704,0.5554035567715458,0.7945205479452054,0.6537842190016102,0.34355828220858897,0.29,731,511,0.6274383021418399,0.7811217510259918,160,0.2188782489740082
ablation,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,no_hand,1.7346010553881064,False,23.332788228988647,OPTIMAL,1206,0.6617647058823529,0.8806262230919765,0.7556675062972292,0.4601226993865031,0.4216666666666667,680,511,0.7713281240548874,0.9352941176470588,44,0.06470588235294117
ablation,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,full,0.8472978603872034,False,5.800909757614136,OPTIMAL,1532,0.6477900552486188,0.9178082191780822,0.7595141700404858,0.44785276073619634,0.405,724,511,0.7958386108894704,0.9212707182320442,57,0.0787292817679558
ablation,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,full_no_notch,0.0,False,5.539562940597534,OPTIMAL,2042,0.6226912928759895,0.923679060665362,0.743892828999212,0.40797546012269936,0.3675,758,511,0.7844010450295564,0.8970976253298153,78,0.1029023746701847
ablation,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,full_no_hand,-2.197224577336219,True,180.31470465660095,FEASIBLE,4942,0.589873417721519,0.9119373776908023,0.7163720215219063,0.3773006134969325,0.3258333333333333,790,511,0.7402521911245411,0.8455696202531645,122,0.1544303797468355
ablation,P3,1,1148,467,0.7665952890792291,0.9207708779443254,0.9957173447537473,0.6616702355460385,latent,0.0,False,160.1039855480194,OPTIMAL,2038,0.6424242424242425,0.9079229122055674,0.7524401064773736,0.4161490683229814,0.4059233449477352,660,467,0.8366026071234915,0.9484848484848485,34,0.051515151515151514
