substrate,method,seed,n_frag,n_true_joins,top1,top5,top10,top50,theta,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
synthetic,constrained,0,891,385,0.5402597402597402,0.7688311688311689,0.8415584415584415,0.9636363636363636,0.8472978603872034,180.38522696495056,FEASIBLE,0.6150537634408603,0.7428571428571429,0.6729411764705883,0.3483606557377049,0.36475869809203143,465,385,0.6678399277925547,0.8709677419354839,60,0.12903225806451613
synthetic,bipartite,0,891,385,0.5402597402597402,0.7688311688311689,0.8415584415584415,0.9636363636363636,4.595119850134589,0.3884260654449463,OPTIMAL,0.3281519861830743,0.4935064935064935,0.3941908713692946,0.06557377049180328,0.09090909090909091,579,385,0.23419992520930855,0.4386873920552677,325,0.5613126079447324
synthetic,constrained,1,876,346,0.5491329479768786,0.7716763005780347,0.8236994219653179,0.953757225433526,0.8472978603872034,180.23397135734558,FEASIBLE,0.5879629629629629,0.7341040462427746,0.652956298200514,0.3170731707317073,0.3515981735159817,432,346,0.6373546593716856,0.8865740740740741,49,0.11342592592592593
synthetic,bipartite,1,876,346,0.5491329479768786,0.7716763005780347,0.8236994219653179,0.953757225433526,4.595119850134589,0.23292016983032227,OPTIMAL,0.3045774647887324,0.5,0.3785557986870897,0.06504065040650407,0.09817351598173515,568,346,0.20729422761443803,0.4225352112676056,328,0.5774647887323944
synthetic,constrained,2,835,347,0.547550432276657,0.7752161383285303,0.8414985590778098,0.9481268011527377,0.8472978603872034,180.45562386512756,FEASIBLE,0.639225181598063,0.760806916426513,0.6947368421052631,0.43661971830985913,0.4407185628742515,413,347,0.6802663341605781,0.8837772397094431,48,0.11622276029055689
synthetic,bipartite,2,835,347,0.547550432276657,0.7752161383285303,0.8414985590778098,0.9481268011527377,4.595119850134589,0.9854564666748047,OPTIMAL,0.3284403669724771,0.515850144092219,0.4013452914798206,0.06572769953051644,0.09341317365269461,545,347,0.24056242128353864,0.42752293577981654,312,0.5724770642201835
real,constrained,0,810,336,0.31547619047619047,0.5952380952380952,0.6726190476190477,0.875,0.0,180.2800476551056,FEASIBLE,0.5088161209068011,0.6011904761904762,0.5511596180081856,0.2889908256880734,0.30617283950617286,397,336,0.5661998189718016,0.7934508816120907,82,0.20654911838790935
real,bipartite,0,810,336,0.31547619047619047,0.5952380952380952,0.6726190476190477,0.875,1.7346010553881064,4.997591495513916,OPTIMAL,0.17345597897503284,0.39285714285714285,0.24065633546034637,0.009174311926605505,0.007407407407407408,761,336,0.02830585107405442,0.2457293035479632,574,0.7542706964520368
real,constrained,1,831,336,0.3869047619047619,0.5654761904761905,0.6577380952380952,0.8571428571428571,0.0,180.40119004249573,FEASIBLE,0.4512820512820513,0.5238095238095238,0.48484848484848486,0.24056603773584906,0.2695547533092659,390,336,0.520615668382319,0.7717948717948718,89,0.22820512820512817
real,bipartite,1,831,336,0.3869047619047619,0.5654761904761905,0.6577380952380952,0.8571428571428571,1.7346010553881064,4.060357332229614,OPTIMAL,0.16624040920716113,0.3869047619047619,0.23255813953488375,0.0047169811320754715,0.0036101083032490976,782,336,0.02779793509181107,0.22250639386189258,608,0.7774936061381075
real,constrained,2,856,353,0.32294617563739375,0.5552407932011332,0.6572237960339944,0.8385269121813032,0.0,180.32342410087585,FEASIBLE,0.49382716049382713,0.56657223796034,0.5277044854881267,0.24,0.27686915887850466,405,353,0.5833436094064327,0.8024691358024691,80,0.19753086419753085
real,bipartite,2,856,353,0.32294617563739375,0.5552407932011332,0.6572237960339944,0.8385269121813032,1.7346010553881064,5.213106155395508,OPTIMAL,0.14196762141967623,0.32294617563739375,0.1972318339100346,0.0,0.0035046728971962616,803,353,0.03308499799805436,0.2129514321295143,632,0.7870485678704857
