part,level,seed,method,n_frag,top1,top50,solve_s,status,coherence,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,mix
misspecification,0.0,0,constrained,1200,0.5185909980430529,0.9393346379647749,180.53190159797668,FEASIBLE,0.6536203522504892,0.6506238859180036,0.7142857142857143,0.6809701492537313,0.3496932515337423,0.3908333333333333,561,511,0.6351279191112913,0.9055258467023173,53,0.09447415329768272,
misspecification,0.0,0,bipartite,1200,0.5185909980430529,0.9393346379647749,180.11094784736633,FEASIBLE,0.6536203522504892,0.29865361077111385,0.4774951076320939,0.36746987951807225,0.03987730061349693,0.07083333333333333,817,511,0.194506342417447,0.3990208078335373,491,0.6009791921664627,
misspecification,0.0,1,constrained,1148,0.4989293361884368,0.9357601713062098,178.0281481742859,OPTIMAL,0.6616702355460385,0.6266924564796905,0.6937901498929336,0.6585365853658536,0.3385093167701863,0.3893728222996516,517,467,0.622331588231971,0.9090909090909091,47,0.09090909090909094,
misspecification,0.0,1,bipartite,1148,0.4989293361884368,0.9357601713062098,180.10780143737793,FEASIBLE,0.6616702355460385,0.2690863579474343,0.4603854389721627,0.339652448657188,0.040372670807453416,0.06097560975609756,799,467,0.17714537319147228,0.3704630788485607,503,0.6295369211514392,
misspecification,0.0,2,constrained,1105,0.5010940919037199,0.9387308533916849,123.72085857391357,OPTIMAL,0.6039387308533917,0.6754032258064516,0.7330415754923414,0.7030430220356769,0.4275618374558304,0.4497737556561086,496,457,0.6728073385542462,0.9173387096774194,41,0.08266129032258063,
misspecification,0.0,2,bipartite,1105,0.5010940919037199,0.9387308533916849,182.22766518592834,FEASIBLE,0.6039387308533917,0.28304405874499333,0.4638949671772429,0.351575456053068,0.04240282685512368,0.06877828054298643,749,457,0.1912040942067464,0.38050734312416556,464,0.6194926568758344,
misspecification,0.25,0,constrained,1303,0.4416826003824092,0.9024856596558317,180.52794337272644,FEASIBLE,0.6692160611854685,0.5822147651006712,0.6634799235181644,0.6201966041108132,0.2865671641791045,0.33844973138910206,596,523,0.547174084893492,0.87248322147651,76,0.12751677852348997,
misspecification,0.25,0,bipartite,1303,0.4416826003824092,0.9024856596558317,180.1747968196869,FEASIBLE,0.6692160611854685,0.2348993288590604,0.40152963671128106,0.2964008468595624,0.04477611940298507,0.0713737528779739,894,523,0.149661758741374,0.3221476510067114,606,0.6778523489932886,
misspecification,0.25,1,constrained,1234,0.5010438413361169,0.9227557411273486,180.40486526489258,FEASIBLE,0.6868475991649269,0.5996204933586338,0.6597077244258872,0.6282306163021868,0.3704918032786885,0.4019448946515397,527,479,0.5237054861449896,0.8709677419354839,68,0.12903225806451613,
misspecification,0.25,1,bipartite,1234,0.5010438413361169,0.9227557411273486,180.14738202095032,FEASIBLE,0.6868475991649269,0.24484848484848484,0.42171189979123175,0.3098159509202454,0.04590163934426229,0.07698541329011345,825,479,0.1572656703316942,0.32484848484848483,557,0.6751515151515152,
